"","taxon","freq","prev","p.freq","p.prev","p","not.contaminant","phylum","class","order","family","genus","species","in.homd","in.core.hominid","in.contam.list","taxon_category","threshold"
"26","132919",0.000112781864124309,47,NA,0.154411764705882,0.154411764705882,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus jostii",FALSE,FALSE,TRUE,"In contam list",0.05
"27","103816",0.0007236678427205,54,NA,0.102941176470588,0.102941176470588,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus pyridinivorans",FALSE,FALSE,TRUE,"In contam list",0.05
"28","43767",5.22407659234302e-05,43,NA,0.183823529411765,0.183823529411765,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Prescottella","Prescottella equi",FALSE,FALSE,FALSE,"None",0.05
"29","699041",0.00830736658152562,66,NA,0.0147058823529411,0.0147058823529411,TRUE,"Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium hindlerae",TRUE,FALSE,TRUE,"In both",0.05
"30","84595",6.62541486557421e-05,46,NA,0.161764705882353,0.161764705882353,FALSE,"Actinomycetota","Actinomycetes","Mycobacteriales","Gordoniaceae","Gordonia","Gordonia polyisoprenivorans",FALSE,FALSE,FALSE,"None",0.05
"31","1495638",0.0251599859191703,68,NA,0.5,0.5,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces sp. M56",FALSE,FALSE,FALSE,"None",0.05
"32","1972846",0.0235668237892015,66,NA,0.0147058823529411,0.0147058823529411,TRUE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces sp. Sge12",FALSE,FALSE,FALSE,"None",0.05
"33","1849967",0.000405232182914663,60,NA,0.0588235294117647,0.0588235294117647,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces sp. SAT1",FALSE,FALSE,FALSE,"None",0.05
"34","2136401",0.000342401970060041,56,NA,0.0882352941176471,0.0882352941176471,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces sp. YIM 121038",FALSE,FALSE,FALSE,"None",0.05
"35","2305220",0.000412446881602368,56,NA,0.0882352941176471,0.0882352941176471,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces sp. W1SF4",FALSE,FALSE,FALSE,"None",0.05
"36","2662065",0.000475176322134803,57,NA,0.0808823529411764,0.0808823529411764,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces sp. SYP-A7193",FALSE,FALSE,FALSE,"None",0.05
"37","1964449",0.000193425442862468,54,NA,0.102941176470588,0.102941176470588,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces sp. 3211",FALSE,FALSE,FALSE,"None",0.05
"38","2109593",0.000150000441460703,54,NA,0.102941176470588,0.102941176470588,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces sp. SGAir0924",FALSE,FALSE,FALSE,"None",0.05
"39","1262452",1.20868448760375e-05,12,NA,0.411764705882353,0.411764705882353,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces sp. 769",FALSE,FALSE,FALSE,"None",0.05
