RDC_4_H31	RDC_6_EB12	RDC_2_H8	RDC_6_H68	RDC_2_H6	RDC_2_H11	RDC_5_H57	RDC_4_EB7	RDC_2_H3	RDC_5_H48	RDC_6_H71	RDC_6_S8	RDC_4_EB8	RDC_5_H43	RDC_3_H15	RDC_6_LP_B12	RDC_3_S4	RDC_5_H46	RDC_4_H30	RDC_4_H40	RDC_6_EB11	RDC_3_H23	RDC_2_S3	RDC_3_H22	RDC_3_H14	RDC_5_H55	RDC_4_S5	RDC_6_H62	RDC_5_H52	RDC_4_H29	RDC_4_H33	RDC_4_H32	RDC_1_S2	RDC_5_EB9	RDC_6_H65	RDC_2_H5	RDC_4_H41	RDC_5_H58	RDC_4_H38	RDC_3_EB6	RDC_6_H67	RDC_4_H28	RDC_5_LP_B10	RDC_2_LP_B4	RDC_5_H44	RDC_4_H26	RDC_5_H54	RDC_6_H66	RDC_3_H13	RDC_4_H37	RDC_2_H10	RDC_1_H1	RDC_4_H39	RDC_1_EB2	RDC_2_H4	RDC_5_H49	RDC_2_H7	RDC_3_H16	RDC_6_H69	RDC_2_EB3	RDC_4_S6	RDC_6_H63	RDC_5_H56	RDC_5_S7	RDC_6_H64	RDC_1_H2	RDC_5_EB10	RDC_5_H53	RDC_5_H50	RDC_3_H18	RDC_6_H70	RDC_3_H21	RDC_1_S1	RDC_5_H61	RDC_4_H42	RDC_3_H12	RDC_5_H51	RDC_4_H35	RDC_6_H72	RDC_4_H25	RDC_3_H17	RDC_3_H24	RDC_5_H59	RDC_3_H20	RDC_5_H47	RDC_5_H45	RDC_4_H27	RDC_3_EB5	RDC_2_H9	RDC_3_H19	RDC_5_H60	RDC_4_H34	RDC_4_H36	SRX3830154	SRX4318863	SRX024173	SRX024148	ERR584333	SRX024023	SRX3830174	SRX024200	SRX023994	ERR584348	SRX4318860	ERR584320	SRS727524	SRS728264	SRX740589	SRX3830184	SRX740562	SRX025192	SRX3830126	SRX740632	SRX025193	SRX101411	SRX3830225	SRX4318858	ERR584341	SRR5823608	SRR5823606	SRR5823609	SRR5823611
869886	7	0	26	122	34	157	66	0	118	18	3	0	0	76	44	0	15	0	7	11	0	31	20	0	20	14	432	33	107	10	2	5	1	0	111	125	4	116	0	0	134	45	0	0	84	130	40	201	127	5	668	143	258	0	22	31	52	5	186	0	13	13	38	97	2	0	0	32	14	3	182	10	96	26	108	16	171	1	0	22	49	11	79	33	9	36	45	0	72	45	25	0	6	51	6	47	5	0	30	112	209	14	0	9	0	6	20	22	58	17	151	69	25	84	315	70	4	0	529	141	936	384
1457250	2	0	9	66	18	69	16	0	36	5	0	0	0	24	13	0	5	0	0	2	0	11	12	0	3	6	235	5	13	4	0	1	0	0	46	44	0	24	0	0	34	14	0	0	34	43	14	99	30	1	269	51	104	0	7	17	42	0	62	0	8	15	6	27	3	0	0	12	11	3	25	9	79	16	48	10	28	0	0	7	13	10	15	10	7	11	13	0	53	3	7	0	3	21	4	22	2	0	6	18	133	16	0	3	0	8	9	13	24	8	41	12	7	21	230	17	0	0	246	71	415	173
88724	4	0	8	24	6	32	15	0	24	4	2	0	0	0	13	0	0	0	0	5	0	11	0	0	9	6	46	7	13	0	2	0	0	0	18	32	0	24	0	0	12	11	0	0	10	19	2	25	11	0	67	13	28	0	2	23	5	0	20	0	3	3	0	5	0	0	0	5	2	0	26	0	0	1	5	3	24	0	0	5	9	0	17	8	9	10	10	0	20	3	4	0	0	6	0	48	10	0	30	19	7	25	0	0	0	0	0	0	18	2	6	9	0	5	23	19	0	0	36	7	79	8
1710539	2	0	10	34	17	56	10	0	63	4	0	0	0	25	31	0	10	0	1	4	0	20	10	0	3	25	258	9	26	3	3	1	0	0	31	50	1	39	0	0	53	13	0	0	37	60	14	120	55	2	313	55	133	0	11	34	21	1	42	0	6	11	27	56	1	0	0	13	11	2	68	11	39	10	73	6	47	0	0	16	23	7	12	7	0	15	7	0	38	18	11	0	0	17	0	171	9	0	27	23	22	26	0	1	0	4	11	8	13	7	38	35	11	13	89	23	1	0	359	63	545	189
353800	6	0	4	9	6	51	9	0	12	4	0	0	0	25	8	0	5	0	0	2	0	8	4	0	3	5	208	8	17	3	2	2	0	0	26	16	0	19	0	0	9	2	0	0	17	21	7	154	23	0	340	40	113	0	2	13	4	0	11	0	9	1	11	28	1	1	0	8	3	1	74	5	37	1	40	5	20	0	0	4	13	4	15	3	10	7	11	0	18	10	10	1	0	8	1	242	2	0	2	15	92	3	0	2	0	2	7	5	11	9	15	20	6	49	64	10	0	0	232	50	379	132
44930	1	0	7	39	15	53	7	0	57	2	0	0	0	32	20	0	4	1	1	2	0	11	2	0	3	16	156	3	33	5	1	1	0	0	57	27	0	34	1	0	14	11	0	0	31	48	5	96	32	3	231	46	52	0	9	23	9	3	31	0	5	8	13	24	2	1	0	7	29	2	38	2	19	3	33	8	41	0	0	8	14	6	9	6	6	11	12	0	47	6	15	0	1	8	2	82	2	0	7	10	48	15	0	4	0	3	5	0	13	0	22	20	5	14	38	26	1	0	168	50	319	117
29288	1	0	4	34	11	84	9	0	24	6	0	0	0	16	9	0	4	0	1	0	0	12	8	0	8	0	299	14	15	8	0	0	0	0	19	16	0	20	0	0	39	7	0	0	20	46	16	138	27	0	482	57	154	0	13	11	16	4	63	0	4	6	14	64	4	1	0	9	12	4	24	9	68	5	112	6	17	0	1	8	16	11	19	11	3	4	11	0	28	3	17	0	1	28	0	317	1	0	15	21	54	19	0	8	0	3	11	11	20	7	8	16	6	33	81	23	3	0	358	110	662	249
83986	3	0	13	54	15	70	25	0	83	3	2	0	0	62	40	0	16	1	3	8	0	10	6	0	9	14	297	11	64	6	8	3	0	0	84	62	0	73	0	0	56	13	0	0	33	89	5	86	34	1	276	73	141	0	14	28	21	3	56	0	9	6	30	36	2	1	0	20	7	3	152	9	45	11	40	13	64	0	2	16	50	9	22	6	12	16	13	0	40	14	51	2	3	29	4	45	18	0	16	61	98	26	0	11	0	3	4	9	32	9	43	55	10	37	71	50	2	0	434	74	700	262
1175444	1	0	2	13	7	31	9	0	36	0	0	3	0	24	14	0	7	0	2	1	0	2	1	0	0	5	90	3	11	3	0	0	0	0	22	11	0	28	0	0	33	3	0	0	16	37	1	39	11	1	121	26	54	0	1	8	6	0	12	0	1	0	8	17	1	0	0	13	1	0	70	2	36	1	23	3	17	0	1	5	32	4	7	1	5	7	5	0	12	5	6	0	0	8	2	61	2	0	16	12	87	13	0	0	0	0	1	1	12	8	9	23	5	3	60	8	0	0	1055	193	1353	635
230361	3	0	4780	199	439	186	170	0	430	213	99	0	0	785	1711	0	0	5	3	361	0	59	6	0	0	3473	26	2962	426	0	9	71	1	0	1186	2428	4	135	1	0	3544	142	0	0	905	6002	7	1	4056	29	6	516	77	0	27	15	92	20	18	0	0	155	1115	0	0	6	0	19	26	0	26609	0	14	294	0	29	873	0	48	1238	624	0	1795	419	240	430	4083	0	117	4860	5	16	128	189	8	30	22	0	53	816	30	77	0	4	0	0	8	3	1690	0	12	11240	7	4	7	48	9	0	32	11	75	30
1609968	2	0	5043	374	702	258	312	0	705	308	167	0	2	1208	2136	0	0	0	10	510	0	144	2	6	0	3861	5	3722	752	0	7	104	0	0	1591	3822	13	221	1	0	6041	194	0	0	1181	9413	12	1	4655	32	6	772	113	0	30	42	222	37	22	1	0	313	1760	1	0	7	0	34	46	0	30145	0	15	619	0	56	1499	0	85	2110	1107	0	2299	752	474	740	5658	0	228	6013	10	19	140	177	3	180	1	0	213	914	75	74	0	2	0	0	4	4	1907	5	8	11656	3	1	20	52	2	0	41	8	76	36
2731220	1	0	82	3	3	1	6	0	7	2	0	0	0	12	53	0	0	0	0	1	0	2	0	0	0	62	1	41	4	0	0	3	0	0	27	38	0	5	0	0	25	1	0	0	10	61	2	0	58	0	0	4	0	0	0	0	5	2	0	0	0	5	9	0	0	0	0	0	1	0	354	0	1	4	0	2	9	0	1	4	2	0	31	10	1	3	56	0	3	95	0	0	1	21	0	1	4	0	2	15	16	8	0	4	0	0	0	4	76	0	2	583	1	2	22	4	0	0	163	34	285	92
1712654	1	0	1	3	1	13	0	0	4	0	0	0	0	12	2	0	5	0	0	0	0	1	0	0	0	3	17	1	1	0	1	0	0	0	3	7	0	3	0	0	0	1	0	0	4	5	1	4	6	0	41	14	6	0	0	4	5	0	13	0	2	0	4	3	1	0	0	1	2	0	0	1	0	1	2	2	3	0	0	0	9	4	6	0	0	2	2	0	2	0	1	0	0	1	4	8	1	0	3	4	14	4	0	2	0	0	2	1	5	0	2	1	0	38	17	1	0	0	23	5	42	11
187880	1	0	13	14	7	15	22	0	30	0	0	0	0	36	27	0	0	0	0	1	0	2	1	0	0	15	66	19	55	0	4	0	0	0	42	30	0	34	0	0	89	15	0	0	24	32	0	43	40	2	70	28	25	0	11	18	2	0	20	0	1	1	23	18	0	0	0	13	5	0	101	0	18	10	15	2	28	0	1	15	40	3	13	1	4	4	5	0	12	11	2	0	0	12	0	572	3	0	3	42	7	3	0	0	0	12	0	0	21	0	0	55	16	12	3	29	0	0	55	21	77	28
94694	1	0	4	28	0	2	14	0	19	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	3	1	15	0	0	0	0	0	22	17	0	12	0	0	24	7	0	0	10	16	0	2	26	0	0	18	7	0	0	3	2	0	13	0	0	0	1	1	0	0	0	4	5	0	18	0	6	6	0	5	19	0	0	9	2	0	5	3	0	0	5	0	16	2	1	0	0	9	0	0	0	0	0	10	72	1	0	0	0	0	0	0	10	0	0	9	0	0	19	17	2	0	13	0	18	1
43080	1	0	11	26	0	6	0	0	41	0	0	0	0	0	25	0	0	0	0	4	0	0	0	0	0	4	0	0	3	0	2	0	0	0	0	43	0	0	0	0	43	18	0	0	36	55	0	0	0	0	0	97	0	0	11	23	6	0	12	0	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	32	0	0	4	0	0	25	0	13	0	13	0	32	0	0	0	0	0	0	0	1	0	6	38	29	2	0	0	0	0	0	0	31	0	10	0	0	0	17	38	0	0	9	0	0	0
2785056	0	2	1	24	12	60	0	0	12	0	0	0	0	4	0	0	20	0	0	0	0	0	4	0	13	7	364	0	5	11	0	2	0	0	44	15	0	5	0	0	6	2	0	0	6	12	8	165	9	2	419	7	241	0	2	0	6	0	61	0	15	6	0	63	0	0	0	0	3	7	12	6	127	8	44	5	3	0	0	4	0	30	2	9	2	2	2	0	22	0	6	0	0	20	4	53	9	0	31	12	87	20	0	3	0	11	71	1	12	11	39	1	1	41	88	4	0	0	294	57	485	168
2267833	0	3	11	43	0	15	10	0	57	19	0	2	0	25	0	0	0	0	5	0	0	5	0	0	0	19	112	13	48	0	0	0	0	0	11	12	0	19	0	0	11	0	0	0	0	83	11	64	22	0	73	21	82	0	15	5	54	0	43	0	10	11	0	23	0	0	0	0	0	0	65	5	11	6	11	0	33	0	0	7	16	5	5	0	18	24	12	0	53	0	180	0	0	56	21	31	0	0	0	23	138	22	0	10	0	93	906	59	36	177	6	37	22	0	33	11	16	0	169	28	263	141
1867715	0	1	11	1	4	32	10	0	4	0	0	0	0	1	19	0	6	0	0	1	0	3	5	0	6	6	143	5	9	1	0	0	0	0	7	6	0	3	0	0	7	7	0	0	21	5	9	60	12	0	176	9	88	0	4	4	1	0	37	0	10	3	10	22	0	0	0	3	2	13	14	4	40	1	13	0	22	0	0	1	5	3	3	2	0	4	8	0	3	10	2	0	0	8	1	49	11	0	11	3	14	8	0	2	0	1	45	2	8	5	2	1	2	1	7	3	1	0	138	52	228	97
912	0	1	0	2	0	25	1	0	1	0	0	0	0	6	0	0	7	0	0	0	0	1	5	0	2	0	122	0	0	1	0	0	0	0	2	1	0	1	0	0	1	0	0	0	3	1	2	45	7	0	111	3	85	0	0	7	3	0	20	0	4	0	1	38	0	0	0	0	2	4	4	4	35	0	17	0	2	0	0	0	1	5	0	1	0	1	1	0	1	0	2	0	0	36	0	0	0	0	32	1	0	0	0	0	0	3	40	2	2	7	0	4	4	2	0	1	0	0	305	62	644	203
1609966	0	1	0	33	7	15	0	0	5	2	0	1	0	3	0	0	1	0	0	0	0	2	0	0	0	0	41	2	2	1	0	0	0	0	35	13	0	0	0	0	5	13	0	0	0	0	7	4	13	0	20	0	15	0	5	7	6	0	30	0	0	2	0	11	2	0	0	5	11	0	0	3	12	0	6	0	5	0	2	8	3	0	3	0	0	7	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	118	1	0	38	0	0	5	16	1	2	0	0	45	6	100	44
1166950	0	1	2	37	27	32	4	0	32	3	1	0	0	8	1	0	6	0	2	0	0	8	7	0	5	4	91	3	12	1	3	5	0	0	64	26	0	12	0	0	31	18	0	0	26	22	1	31	14	1	122	22	37	0	4	7	18	1	28	0	3	8	10	11	4	0	0	6	28	5	38	3	22	5	14	16	19	0	1	1	12	1	10	5	10	8	7	0	44	0	4	0	1	20	4	3	0	0	2	8	47	1	0	6	0	2	39	7	10	8	15	2	3	10	47	11	1	0	146	29	222	74
1990687	0	1	0	21	6	47	2	0	23	8	0	0	0	0	8	0	4	0	2	1	0	6	11	0	6	0	207	12	8	12	0	0	0	0	30	25	0	7	0	0	24	3	0	0	23	21	12	89	18	5	314	37	149	0	0	12	14	1	35	0	7	8	6	41	2	0	0	0	4	3	21	9	37	0	53	4	14	0	0	6	13	8	0	9	0	3	9	0	20	3	2	1	0	5	0	0	0	0	4	10	53	0	0	5	0	7	14	10	3	15	29	1	18	33	86	7	0	0	176	43	255	106
188770	0	1	0	12	0	8	5	0	6	3	0	0	0	12	5	0	1	0	0	5	0	0	0	0	0	0	18	2	12	0	1	0	0	0	14	3	0	3	0	0	13	3	0	0	2	16	0	7	2	1	31	3	51	0	2	2	2	0	2	0	1	0	3	6	0	0	0	9	0	0	25	1	0	3	21	1	11	0	0	0	18	0	1	0	0	1	1	0	10	1	4	0	1	1	2	0	0	0	0	15	37	0	0	0	0	0	0	0	1	0	3	12	0	25	13	6	0	0	28	2	54	13
196162	0	1	4	12	1	46	0	0	5	1	1	0	0	4	13	0	15	0	1	1	0	4	8	0	3	0	331	2	12	12	0	0	0	0	20	8	1	13	0	0	15	4	0	0	18	19	12	253	6	0	208	10	116	0	1	14	5	0	50	0	8	0	4	55	1	0	0	1	1	1	4	19	54	4	114	2	7	0	0	3	1	3	10	3	3	11	7	0	5	4	10	0	1	10	0	1	0	0	0	13	70	0	0	0	0	4	14	24	7	18	43	8	6	17	90	11	0	0	125	35	171	66
414778	0	2	30	55	13	106	0	0	32	18	0	0	0	40	24	0	0	0	0	8	0	58	32	0	0	6	193	13	52	0	0	0	0	0	0	102	0	31	0	0	56	11	0	0	43	197	5	10	68	0	221	66	22	0	20	29	20	0	431	0	0	9	85	11	3	0	0	9	10	0	237	0	80	9	0	20	10	0	0	0	76	0	15	13	24	6	14	0	47	0	8	0	9	68	416	342	33	0	24	57	330	192	0	356	0	6	1	23	126	9	65	93	33	22	298	136	135	0	132	29	354	122
2675877	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	17	6	0	0	0	3	0	0	2	1	1	0	0	0	0	1	0	0	3	0	7	1
293091	0	1	3	1	2	3	0	0	17	1	0	0	0	9	7	0	4	0	0	1	0	0	1	0	0	2	22	1	3	0	0	0	0	0	6	11	0	6	0	0	1	0	0	0	5	3	2	6	0	0	10	3	0	0	1	3	1	0	4	0	0	1	4	2	0	0	0	4	2	0	11	0	4	0	1	0	8	0	0	2	2	0	2	2	0	2	1	0	2	10	5	0	0	2	1	9	0	0	4	5	1	10	0	2	0	0	3	1	3	1	2	2	7	0	0	1	1	0	13	6	28	17
2173	0	1	6121	154	245	96	92	1	256	162	59	0	1	590	2939	0	0	0	4	206	0	29	0	1	0	4323	10	3437	258	0	3	59	0	0	1340	1846	7	72	1	0	2194	100	0	0	966	3999	8	0	4885	14	0	385	41	0	11	10	66	53	14	0	0	99	612	0	0	4	0	8	20	4	30953	0	7	213	0	26	535	3	46	825	383	0	1955	252	141	286	4791	0	98	7129	0	5	102	266	5	73	28	0	95	1145	30	37	0	7	0	0	2	4	2235	24	4	15477	4	2	20	25	0	0	59	7	79	14
712624	0	0	6	6	14	31	0	0	33	1	0	0	0	0	0	0	0	0	1	12	0	11	0	0	0	4	0	0	0	0	0	0	0	0	2	12	0	4	0	0	0	10	0	0	6	20	0	0	14	3	0	33	0	0	11	4	19	0	22	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	3	2	0	0	5	0	0	1	0	20	6	8	0	6	2	0	0	1	0	4	0	0	0	0	0	239	0	0	15	0	1	2	182	21	3	1327	0	50	940	5	5	4	0	0	0	0	0
1334	0	0	2	7	7	5	0	0	2	4	0	0	0	0	6	0	0	0	0	1	0	3	0	0	0	1	0	1	1	0	0	0	0	0	1	47	0	0	0	0	2	13	0	0	26	47	0	0	1	0	0	58	1	0	1	0	5	0	15	0	0	1	1	0	0	0	0	0	3	0	6	0	0	1	0	3	7	0	0	18	1	0	2	0	5	1	4	0	5	1	0	0	0	0	4	0	0	0	0	1	0	1	0	26	0	6	11	15	22	20	1	1	19	11	7	2	1	0	0	0	0	0
1307	0	0	2	26	14	23	0	0	27	4	0	0	0	17	9	0	0	6	2	2	0	16	0	0	0	4	0	7	10	0	2	0	0	0	12	136	0	6	0	0	16	12	0	0	33	106	6	0	28	3	0	374	0	0	19	2	69	0	105	0	0	16	8	0	0	0	0	0	0	0	0	0	0	6	0	0	26	0	0	4	0	0	26	3	22	12	4	0	20	0	0	0	1	12	8	497	0	0	38	5	72	68	0	5	0	1	5	3	194	1	14	0	14	27	14	51	3	0	0	0	0	0
1358	0	0	32	80	82	85	0	0	24	0	0	0	0	8	5	0	0	0	0	0	0	10	0	0	0	15	0	41	24	0	0	0	0	0	7	351	0	10	0	0	0	63	0	0	132	491	0	0	142	0	25	1513	0	1	24	21	153	0	398	0	0	30	10	0	7	0	0	0	0	0	0	0	0	4	0	0	62	0	0	0	0	0	13	10	53	71	45	0	91	7	0	0	13	0	184	355	1806	0	127	12	1600	88	0	281	0	184	230	711	149	9089	1700	20	2453	2363	943	40	75	0	114	66	564	364
1359	0	0	14	0	6	128	0	0	8	0	0	0	0	10	10	0	0	0	0	48	0	26	0	0	0	6	0	0	0	0	0	0	0	0	11	15	0	0	0	0	40	126	0	0	87	360	0	0	29	0	0	331	0	0	0	30	132	0	90	0	0	0	0	0	0	0	0	0	0	9	0	0	0	5	0	15	7	0	0	6	0	0	146	0	108	5	15	0	41	0	0	0	0	0	162	238	491	0	377	7	409	265	0	250	0	30	60	187	10	3001	1154	0	5441	392	874	15	109	0	0	0	26	2
1351	0	0	5	20	21	3	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	4	0	0	0	12	0	0	9	0	4	0	0	0	0	34	0	0	0	0	0	0	0	0	12	56	0	11	5	7	0	25	0	0	39	0	8	0	3	0	0	0	8	0	0	0	0	0	0	0	9	0	0	21	0	0	0	0	0	0	21	0	6	0	18	0	6	0	0	0	0	0	4	9	14	560	143	0	176	0	131	592	0	73	0	199	6	39	61	34	239	0	174	109	45	33	13	0	29	15	44	0
33964	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	4	2	6	0	421	0	0	76	0	0	0	0	0	0	0	0	0
1590	0	0	2	1	3	10	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	12	0	5	0	0	0	0	0	11	13	0	0	0	0	1	2	0	0	0	14	0	0	7	0	3	12	0	0	0	2	7	0	6	0	0	1	1	0	0	0	0	0	5	0	0	0	0	2	0	0	5	0	0	1	1	0	9	0	1	4	0	0	8	0	0	0	0	1	10	158	281	0	441	2	17	124	0	11	0	29	8	64	9	208	43	0	47	29	35	10	4	0	22	0	7	4
1598	0	0	1	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	2	11	80	18	0	133	2	54	77	0	9	0	5	1	15	4	7	195	0	56	430	352	1	2	0	0	0	4	0
83683	0	0	1	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	5	8	1	0	2	0	3	0	0	8	0	1	1	1	0	3	7	0	24	6	10	4	0	0	1	0	2	2
1396	0	0	6	9	0	2	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	2	0	4	0	0	0	0	3	2	0	0	0	0	7	2	0	0	2	20	0	8	0	0	87	20	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	2	16	0	0	0	16	0	0	0	5	0	4	0	0	0	2	0	0	0	0	0	0	0	30	891	112	0	19	8	62	28	0	58	0	3	14	16	10	15	15	4	8	8	54	0	10	0	78	9	84	26
1423	0	0	27	46	51	103	1	0	25	11	0	0	0	49	10	0	4	0	1	5	0	45	0	0	3	34	129	78	21	7	2	0	0	0	37	119	0	10	0	0	50	31	0	0	50	200	7	14	36	4	119	246	22	0	14	22	79	2	113	0	0	9	41	4	0	1	0	6	6	8	61	2	63	21	8	2	29	0	1	26	36	0	24	5	37	16	49	0	38	10	9	0	3	15	213	477	101	0	255	33	385	593	0	149	0	12	46	289	104	147	308	56	122	361	277	71	68	0	340	55	448	177
1404	0	0	36	27	56	58	7	0	40	3	0	0	0	29	14	0	1	0	3	8	0	38	1	0	1	27	72	46	16	0	0	0	0	0	25	77	0	28	0	0	43	18	0	0	30	111	1	36	59	0	84	68	14	0	8	19	49	0	97	0	0	23	20	0	0	0	0	5	13	2	207	0	158	11	1	5	37	0	0	5	50	0	29	3	5	9	35	0	42	20	149	0	4	14	216	388	39	0	111	47	317	249	0	185	0	18	34	78	37	15	198	73	66	151	257	43	76	0	254	41	376	199
1478	0	0	22	33	24	81	10	0	76	1	7	0	0	93	28	0	13	0	0	5	0	40	12	0	6	22	235	25	47	5	6	0	0	0	62	98	0	44	0	0	111	13	0	0	66	117	4	65	71	3	185	135	72	0	15	42	117	9	135	0	0	17	98	35	2	0	0	6	7	0	118	0	309	26	17	6	55	0	0	12	15	0	34	14	10	26	33	0	71	27	90	0	9	21	67	236	34	0	144	73	115	122	0	62	0	6	18	37	91	8	41	45	34	14	32	59	42	0	258	26	357	163
562959	0	0	11	7	3	1	11	0	8	1	0	0	0	10	8	0	0	0	0	0	0	1	0	0	0	27	16	10	10	0	0	0	0	0	6	1	2	13	0	0	25	4	0	0	16	21	0	10	23	1	6	7	3	0	1	1	0	1	3	0	1	1	11	4	1	0	0	2	0	0	24	0	5	0	1	0	3	0	0	8	12	0	3	1	3	1	7	0	4	11	2	0	0	3	2	10	1	0	6	13	0	1	0	0	0	0	0	0	7	1	0	25	1	0	1	5	0	0	16	2	40	11
1473112	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
246432	0	0	3	3	3	0	0	0	0	0	9	0	0	5	0	0	0	0	0	3	0	2	0	0	0	0	0	10	4	0	0	0	0	0	4	10	0	0	0	0	0	5	0	0	11	18	13	0	6	0	0	86	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	12	0	8	0	0	0	0	0	0	3	0	0	3	4	0	2	4	0	6	4	0	0	0	8	11	8	5	0	0	0	4	621	0	4	0	7	43	59	5	58	0	0	43	0	1	3	3	0	0	0	10	0
70255	0	0	17	83	101	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	22	0	0	100	80	0	178	0	0	0	12	0	0	0	88	0	0	60	0	0	23	0	0	0	20	147	0	564	0	0	17	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	31	0	0	108	0	0	39	0	0	167	0	0	0	24	0	10	0	61	0	0	53	3379	0	0	0	0	5	11	13	88	43	337	0	46	393	589	65	19	0	0	0	0	0
1490	0	0	3	7	1	6	0	0	6	0	0	0	0	3	1	0	3	0	0	0	0	3	0	0	0	1	3	1	8	0	0	0	0	0	5	13	0	3	0	0	5	0	0	0	1	15	0	5	3	0	3	32	0	0	5	5	0	0	12	0	0	0	2	0	0	0	0	2	0	0	9	0	0	0	0	1	6	0	0	0	2	0	2	0	0	0	2	0	7	0	3	0	0	2	17	71	13	0	242	4	77	98	0	14	0	1	4	3	9	3	7	5	2	10	11	19	2	0	10	0	10	2
1502	0	0	1	3	0	3	0	0	17	0	0	0	0	8	1	0	0	0	0	0	0	1	0	0	0	0	4	3	11	0	0	0	0	0	4	4	0	4	0	0	2	1	0	0	10	6	1	9	8	0	0	12	0	0	2	10	1	0	3	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	3	0	9	0	0	1	0	0	0	0	5	0	0	0	76	607	68	0	137	0	125	369	0	89	0	0	2	11	5	3	10	14	11	8	56	16	67	0	9	1	6	6
1491	0	0	1	1	5	0	0	0	7	0	0	0	0	3	0	0	0	0	1	1	0	1	0	0	0	16	4	13	9	0	0	0	0	0	3	11	0	3	0	0	0	0	0	0	2	9	5	0	1	0	2	4	0	0	0	0	7	0	2	0	0	1	9	0	0	0	0	0	0	0	10	0	2	0	0	0	3	0	0	0	3	0	5	0	3	1	6	0	0	0	0	0	0	2	6	129	5	0	42	8	196	142	0	2	0	1	2	4	3	1	8	24	6	2	14	20	11	0	12	5	16	9
39485	0	0	11	66	23	27	5	0	83	7	2	0	0	24	27	0	0	0	4	6	0	34	0	0	1	20	23	6	39	0	0	2	0	0	57	157	0	13	0	0	49	10	0	0	67	259	8	0	62	0	0	198	0	0	49	21	46	0	66	0	0	32	51	0	0	0	0	5	5	0	104	0	0	19	0	3	35	0	2	27	1	0	35	2	24	19	34	0	125	22	400	0	2	20	30	15343	9302	0	30143	40	45	30660	0	22	0	5	2	24	43	14	15	29	18	30	13	97	37	0	3	0	3	2
713030	0	0	3	0	0	0	0	0	9	0	0	0	0	0	32	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	27	0	0	0	0	4	5	0	0	0	240	5	0	0	2	4	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	16	0	0	5	14	0	2	98	0	0	0	0	0	0
