sample,FEAST_category,oral,gut,skin,soil,labcontam,unknown,label,oral_soil_ratio
RDC_1_EB2,Blank,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,NA,34.3333333333333
RDC_1_H1,Lucus Feroniae,0.842917707849445,7.37850038407216e-13,0.000832243556332359,5.68051797199349e-09,4.7566625123897e-08,0.156249995346342,NA,85.2917223348284
RDC_1_H2,Lucus Feroniae,0.676896536444626,0.0267824959673955,0.197570486862738,0.0339944914937445,0.000239860199237732,0.0645161290322581,NA,15.6132395925589
RDC_1_S1,Soil,0.0019300418467952,6.69186777857425e-30,0.0612880673661461,0.574838542609133,0.0181933481779262,0.34375,NA,0.0203988639216079
RDC_1_S2,Soil,0.29707564809487,0.0282175453217968,0.0456676345876503,5.79735811773286e-13,0.209684333285426,0.419354838709677,NA,30.7075648077067
RDC_2_EB3,Blank,0.618018763439826,5.4651645441183e-05,0.0433215784599727,0.03860500645476,0,0.3,NA,12.920865755349
RDC_2_H10,Selvicciola,0.111152576935868,0.032258064516129,0.0740501642097097,0.395442420079363,0.0645161290976392,0.32258064516129,*,0.29881574037604
RDC_2_H11,Selvicciola,0.615638484915622,4.16273776649696e-12,0.0921087066412344,0.229617209524616,0.000135598914365262,0.0625,NA,2.61099144822212
RDC_2_H3,Lucus Feroniae,0.695386465022942,1.96093565150478e-57,2.8560672520742e-22,0.198814573045522,0.0148898710224457,0.0909090909090909,NA,3.3780518990366
RDC_2_H4,Lucus Feroniae,0.623353748791581,0.0324568902109509,0.101632113228679,1.56881261675534e-78,0.0550572477687885,0.1875,NA,63.3353748791581
RDC_2_H5,Lucus Feroniae,0.647930095435035,2.51673507535448e-16,0.0728392008897017,0.111446081821989,0.0115346218532741,0.15625,NA,5.41746662851916
RDC_2_H6,Isola Sacra,0.70803461607224,8.01724041811207e-61,0.0026046957213092,0.0643905928065323,0.0249700954078804,0.199999999992038,NA,9.65222333877125
RDC_2_H7,Isola Sacra,0.689842275726488,0.032258064516129,0.12589863394169,0.0874848760921221,2.06913128325199e-08,0.0645161290322581,NA,7.17898307697642
RDC_2_H8,Isola Sacra,0.686741494047921,0.00091607461403076,0.0009183818667298,0.193856136638062,0.0853098483171276,0.032258064516129,NA,3.41780976299456
RDC_2_H9,Isola Sacra,0.546090187281769,1.57841059282926e-12,0.115800434146881,0.200176725718199,1.61836881428628e-06,0.137931034482759,NA,2.64582191668247
RDC_2_LP_B4,Blank,0.790320125407215,2.18871880213745e-23,0.000521842439216404,0.132234955230492,1.60792178899939e-17,0.0769230769230769,NA,5.62674712492646
RDC_2_S3,Soil,0.229081293005829,0,0.0227711554646623,0.326178076684917,0.15248697858598,0.269482496258612,NA,0.711174551783484
RDC_3_EB5,Blank,0.498463681396776,0.0844554806352925,0.0804705172901289,0.236610320677802,5.22104068935067e-17,0.1,NA,2.06181022756581
RDC_3_EB6,Blank,0.0543516346270995,0,0.0245327561880059,0.0853143954955122,0.335801213689383,0.5,NA,0.67515126432428
RDC_3_H12,Lucus Feroniae,0.400063324018771,0.0377964251892217,0.25424399480048,0.171347838165636,0.100834132111605,0.0357142857142857,NA,2.26119775215757
RDC_3_H13,Lucus Feroniae,0.596972724910735,2.38494333078009e-77,0.157562716724797,0.111193440583463,0.0697549887487462,0.0645161290322581,NA,5.00829683511403
RDC_3_H14,Lucus Feroniae,0.398631455673954,5.40393459639233e-57,0.000880882459727944,0.438752575021508,0.0545922297019524,0.107142857142857,NA,0.910594118940416
RDC_3_H15,Lucus Feroniae,0.573198501120926,0,0.0450112257730831,0.209376480002544,0,0.172413793103448,NA,2.65843677095267
RDC_3_H16,Isola Sacra,0.579158601373387,1.14834937340512e-16,0.00374164178770297,0.323297097273279,0.0634996292626,0.0303030303030303,NA,1.76766796408767
RDC_3_H17,Isola Sacra,0.157020465899588,3.14965359153397e-109,0.136092979785396,0.161279312673844,2.5926683109785e-26,0.54560724164117,*,0.9751350778575
RDC_3_H18,Isola Sacra,0.571983527143432,3.03182246038287e-07,0.0948027593614435,0.10202078802256,0.168692622290317,0.0625,NA,5.19531720332323
RDC_3_H19,Isola Sacra,0.571077509125075,0.0322580644258547,0.167526623214708,0.0948941580759707,9.51894040289675e-26,0.134243645158392,NA,5.53965558982059
RDC_3_H20,Selvicciola,0.716784062991073,0,5.71178309080759e-133,0.126965937008928,6.22707862373726e-73,0.15625,NA,5.30631249537394
RDC_3_H21,Selvicciola,0.139628801693523,6.3075439484984e-15,4.9808091133116e-12,0.340192594094818,0.100823765496995,0.419354838709677,*,0.427275745451685
RDC_3_H22,Selvicciola,0.543411045277923,1.5935079683767e-11,0.0401662436409891,0.142460809027787,0.0804135149405917,0.193548387096774,NA,3.62985772413853
RDC_3_H23,Selvicciola,0.898361475731986,0.0327619696936707,0.0260222628794368,6.9167476354019e-117,0.0125512613918759,0.0303030303030303,NA,90.8361475731986
RDC_3_H24,Selvicciola,0.327619594657437,3.39814289038718e-37,4.47091702502614e-14,0.413121063382846,8.27004131142258e-08,0.259259259259259,NA,0.797926702013304
RDC_3_S4,Soil,0.307100456578101,0,0.0538142043109691,0.348256159337082,0.0181019070465752,0.272727272727273,NA,0.885122134856981
RDC_4_EB7,Blank,0.48449560663916,1.03935916119944e-06,0.267792434703392,0.0327168639765126,0.00456433627530421,0.21042971904647,NA,11.5761214800565
RDC_4_EB8,Blank,0.603798076494986,0,1.30252033833352e-06,1.54736552287243e-16,0.305291530075585,0.0909090909090909,NA,61.3798076494976
RDC_4_H25,Lucus Feroniae,0.834321519092314,1.6888682138724e-12,0.00549388525625981,0.0480521579170214,0.0808824377327161,0.03125,NA,14.544188353845
RDC_4_H26,Lucus Feroniae,0.845655895494127,0.0254485594266095,0.0968352376254731,7.05260817472012e-05,0.000739781372043773,0.03125,NA,84.9663551385861
RDC_4_H27,Lucus Feroniae,0.74055448276561,5.40926219904474e-11,0.0292489826404744,0.0161395837762284,0.134555707861098,0.0795012429024967,NA,28.713329530831
RDC_4_H28,Lucus Feroniae,0.541232891746349,4.21324795945308e-05,0.00189371410960326,0.29703408717373,0.128547174490723,0.03125,NA,1.7953475355798
RDC_4_H29,Lucus Feroniae,0.156218959437592,1.02823622932063e-62,0.000139982340880164,0.441865163419674,0.235109228135188,0.166666666666667,*,0.367850794647814
RDC_4_H30,Lucus Feroniae,0.807927639502978,4.00030688744497e-59,2.12727855093945e-11,0.160822360475271,4.78067511684498e-13,0.03125,NA,4.78817666040497
RDC_4_H31,Isola Sacra,0.605792293793131,5.44970728565541e-137,0.00369287540196812,0.158746724128869,0.0130181066760334,0.21875,NA,3.64921035932443
RDC_4_H32,Isola Sacra,0.650873837283718,0,0.031746008785246,0.0986301539310361,3.44593365872114e-181,0.21875,NA,6.08370524544477
RDC_4_H33,Isola Sacra,0.729959767766549,1.80979407128881e-122,3.26789059186270e-09,0.0389198353568695,0.137370393608691,0.09375,NA,15.1259660292917
RDC_4_H34,Isola Sacra,0.444687758478382,1.17197249797065e-27,0.171109884999857,0.214057683464605,0.0451446730571559,0.125,NA,2.0293334798769
RDC_4_H35,Isola Sacra,0.413478414468388,2.83536971490114e-86,0.129795487719419,0.190059431408133,5.9742203762942e-34,0.26666666640406,NA,2.11676306129486
RDC_4_H36,Isola Sacra,0.646884576473153,6.2888628466116e-14,0.0465167292555444,0.185166219722644,0.0142896174057378,0.107142857142857,NA,3.3657698417619
