RDC_4_H31	RDC_2_H8	RDC_6_H68	RDC_2_H6	RDC_2_H11	RDC_5_H57	RDC_2_H3	RDC_5_H48	RDC_6_H71	RDC_5_H43	RDC_3_H15	RDC_5_H46	RDC_4_H30	RDC_4_H40	RDC_3_H23	RDC_3_H22	RDC_3_H14	RDC_5_H55	RDC_6_H62	RDC_5_H52	RDC_4_H29	RDC_4_H33	RDC_4_H32	RDC_6_H65	RDC_2_H5	RDC_4_H41	RDC_5_H58	RDC_4_H38	RDC_4_H28	RDC_5_H44	RDC_4_H26	RDC_5_H54	RDC_6_H66	RDC_3_H13	RDC_4_H37	RDC_1_H1	RDC_2_H4	RDC_5_H49	RDC_2_H7	RDC_3_H16	RDC_6_H69	RDC_6_H63	RDC_5_H56	RDC_6_H64	RDC_1_H2	RDC_5_H53	RDC_5_H50	RDC_3_H18	RDC_6_H70	RDC_5_H61	RDC_3_H12	RDC_5_H51	RDC_4_H35	RDC_6_H72	RDC_4_H25	RDC_3_H17	RDC_5_H59	RDC_3_H20	RDC_5_H47	RDC_5_H45	RDC_4_H27	RDC_2_H9	RDC_3_H19	RDC_5_H60	RDC_4_H34	RDC_4_H36	SRX3830154	SRX4318863	SRX024173	SRX024148	ERR584333	SRX024023	SRX3830174	SRX024200	SRX023994	ERR584348	SRX4318860	ERR584320	SRS727524	SRS728264	SRX740589	SRX3830184	SRX740562	SRX025192	SRX3830126	SRX740632	SRX025193	SRX101411	SRX3830225	SRX4318858	ERR584341	SRR5823608	SRR5823606	SRR5823609	SRR5823611
37329	148	485	1761	505	1770	902	1957	199	18	698	850	11	66	94	436	4	122	223	431	1461	208	66	24	1926	1673	16	1654	2	465	1215	1784	300	1630	1324	136	2713	301	505	1050	66	1711	277	296	51	4	486	312	60	2279	415	225	2107	11	18	386	511	700	384	169	540	601	1558	444	260	24	49	713	60	1157	26	0	50	1178	4067	80	0	205	0	321	1135	835	692	462	4056	809	521	3519	6528	855	26	0	2842	763	4098	1606
2683591	15	0	74	12	113	50	70	19	5	23	36	0	4	0	0	0	21	5	19	31	15	2	3	64	76	0	54	0	26	50	68	4	179	21	8	77	20	50	0	0	87	12	26	2	0	26	18	6	104	0	18	107	0	0	6	11	29	34	6	31	10	67	20	6	3	4	24	1	20	0	0	8	52	28	0	0	0	0	7	11	11	6	8	5	28	3	9	51	35	0	0	255	59	376	133
2811421	9	35	84	21	58	60	98	11	1	20	26	0	6	4	0	0	5	9	20	61	17	1	5	100	72	0	71	0	15	47	66	13	116	26	2	52	14	30	26	1	0	9	14	6	0	24	11	0	121	10	9	107	0	0	27	12	24	29	11	25	32	72	22	0	1	0	27	2	0	0	0	6	52	135	7	0	35	0	7	18	22	22	8	60	25	2	45	150	30	1	0	230	50	288	118
2722825	4	0	49	0	45	5	15	9	1	0	30	0	0	0	0	0	5	0	23	40	12	1	1	19	0	0	34	0	0	16	0	4	76	21	2	0	4	12	0	2	0	0	0	0	0	20	0	0	62	9	4	34	1	0	0	0	18	13	0	10	8	37	20	0	0	5	24	4	1	0	0	0	31	68	0	0	2	0	5	18	14	27	10	110	17	6	85	74	18	0	0	93	18	113	42
2749906	9	14	65	19	64	37	54	3	0	45	22	0	0	0	21	0	11	0	29	64	8	0	0	34	52	2	69	0	28	42	34	25	208	56	5	0	0	28	0	0	63	9	14	1	0	12	8	0	31	5	13	162	0	2	0	0	32	29	0	16	8	62	13	11	0	9	47	3	9	11	0	2	80	58	3	0	9	0	7	8	30	54	35	77	26	19	114	229	35	0	0	278	64	448	155
334542	28	112	614	193	539	171	573	43	0	278	235	0	14	18	156	0	15	94	112	401	33	7	24	650	552	4	335	0	136	357	830	58	344	449	34	1181	95	202	490	23	392	105	80	25	1	122	136	0	514	90	52	485	1	2	138	211	236	74	89	190	206	551	81	87	2	15	155	137	452	10	0	105	232	1879	47	0	154	0	183	879	566	138	229	1560	171	316	863	2050	244	67	0	913	197	1206	542
1830	10	39	37	16	72	16	65	0	0	27	25	0	0	4	0	0	17	5	55	71	6	0	0	59	76	0	221	0	19	47	46	0	201	105	0	0	11	12	0	0	0	8	35	0	0	38	0	5	101	25	0	190	0	0	0	30	39	23	0	31	24	83	8	0	0	0	75	0	0	0	0	0	321	117	0	0	1	0	8	12	7	124	37	60	183	7	27	43	136	0	0	298	58	402	212
132919	1	0	38	0	61	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	7	0	1	27	0	0	0	0	0	0	0	16	115	0	0	0	0	0	0	0	0	0	4	0	0	6	0	4	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	10	0	0	10	1	11	0	0	0	5	4	0	0	2	0	5	8	9	2	15	19	3	0	6	13	1	0	0	209	52	351	172
103816	6	55	146	46	201	51	127	0	6	75	90	2	7	6	19	0	2	25	12	185	11	0	6	253	79	0	153	0	0	52	192	28	504	69	25	75	36	0	63	0	128	0	17	7	0	24	7	0	98	30	5	133	0	0	33	11	58	22	57	38	41	144	15	20	0	0	53	16	35	0	0	0	72	427	3	0	8	0	98	470	234	50	215	239	51	111	109	711	94	4	0	547	104	778	294
43767	1	0	23	0	0	5	12	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	23	0	0	0	0	0	12	0	0	14	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	7	1	0	0	0	1	5	26	0	0	0	0	4	3	8	1	14	0	1	7	6	24	5	1	0	42	7	60	16
699041	82	337	3180	566	1371	481	1384	198	18	555	501	0	85	55	345	1	53	228	283	1628	74	29	42	5076	1523	8	870	1	386	800	3285	133	318	1014	140	2199	289	428	1870	48	901	453	221	141	3	382	527	26	1255	675	227	1671	4	13	308	427	546	272	261	389	437	2530	275	139	37	85	450	120	1308	83	417	161	886	17481	447	116	459	16	577	2022	1926	617	437	8982	549	905	15756	10058	799	99	1	677	127	1058	418
84595	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	19	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	5	5	13	5	11	6	3	6	30	49	6	0	0	49	13	89	28
1495638	320	973	3691	1024	3245	1814	4236	434	28	1403	1608	14	98	171	892	12	318	556	873	2929	398	98	68	4104	3447	30	3434	3	914	2619	3698	951	10162	2565	247	5333	614	1253	1994	125	3198	541	655	136	7	1065	622	106	4573	835	436	4407	26	20	793	1274	1358	748	441	1181	1256	2931	920	519	89	115	1559	152	2708	89	0	206	2651	8603	720	0	416	0	605	2306	1883	1398	984	6531	1725	1056	4876	13076	1892	77	0	6571	1795	9613	4038
1972846	325	1058	3920	1113	3748	1969	4293	430	67	1595	1924	11	98	207	947	13	444	660	962	3202	356	139	75	4360	3845	43	3849	0	945	2974	3987	881	6450	3150	265	6196	771	1273	2313	172	3465	533	734	131	6	1161	697	64	5023	960	491	4651	25	39	949	1312	1782	879	539	1293	1389	3202	1070	654	73	134	1670	155	2764	144	5	240	2860	8373	323	0	417	0	489	1847	1558	1508	976	7151	1957	988	5538	13342	1917	111	0	6813	2026	10028	4184
2136401	12	23	67	0	29	41	66	6	0	15	34	0	0	3	0	0	4	15	18	44	4	3	1	40	55	2	79	0	8	43	55	9	130	0	11	0	4	17	0	1	0	0	4	2	0	29	8	0	79	26	6	99	0	0	6	12	36	14	10	11	28	37	28	0	2	0	25	0	0	0	0	0	41	43	0	0	0	0	0	1	5	15	11	104	15	1	46	48	20	0	0	68	19	126	39
2305220	8	12	74	9	78	44	53	4	0	20	26	0	1	2	0	0	6	15	21	86	13	0	4	64	47	0	85	0	13	41	37	22	122	38	4	67	13	23	22	2	61	0	10	0	0	24	0	0	106	16	5	115	2	0	9	19	25	25	0	15	27	39	17	11	0	5	28	2	27	1	0	3	68	102	14	0	0	0	9	5	11	19	7	72	48	8	37	176	39	2	0	157	47	224	95
2662065	8	18	86	16	40	42	107	16	0	23	34	0	1	4	24	0	4	16	22	78	4	3	0	85	88	7	62	0	21	82	66	29	95	50	5	95	29	25	35	6	0	15	16	2	0	29	13	0	130	24	0	115	0	0	13	25	28	29	7	22	28	62	38	10	0	0	44	2	3	1	0	13	50	140	0	0	1	0	6	7	15	37	7	145	57	6	73	242	50	0	0	75	33	137	52
1964449	9	13	84	25	49	8	29	0	0	11	11	0	2	0	0	0	1	5	11	31	5	1	3	29	33	0	19	0	0	46	45	3	49	42	0	78	8	26	0	1	0	15	7	4	0	6	9	0	49	7	0	59	0	0	5	10	20	0	0	11	13	43	9	0	0	0	22	2	1	0	0	2	18	126	1	0	2	0	2	5	8	22	2	103	15	3	149	197	21	2	0	70	12	109	42
2109593	4	10	0	0	0	29	60	0	0	0	13	0	0	0	0	0	7	5	0	20	6	1	0	20	0	0	28	0	11	12	0	16	62	0	1	0	0	0	0	2	0	0	5	1	0	4	8	0	0	4	7	42	0	0	5	20	0	10	0	0	15	0	5	0	0	0	5	0	0	0	0	1	7	13	0	0	0	0	5	1	4	7	2	6	16	0	39	4	7	0	0	64	19	112	45
1262452	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	2	11	6
2768069	2	12	77	22	35	25	65	9	1	11	23	0	0	0	0	0	0	0	7	40	5	0	1	113	56	1	30	0	13	41	49	11	76	28	1	0	11	31	0	0	0	13	0	1	0	10	11	0	57	13	8	62	0	1	16	14	20	6	0	11	21	49	15	0	2	0	29	0	3	2	0	2	21	49	1	0	6	0	6	6	6	12	9	27	11	3	38	31	21	0	0	103	36	216	69
1725411	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	1	0	1	0	1	2	1	2	1	3	0	0	8	26	1	0	0	16	3	16	10
1969	359	1072	3855	1123	3794	2080	4054	389	50	1572	1829	25	93	205	943	2	464	630	944	3072	400	129	61	4167	3832	54	3789	3	960	2847	3837	1027	9147	2994	256	6291	769	1211	2480	184	3611	544	811	111	10	1122	609	69	4887	975	470	4828	18	26	909	1406	1570	867	450	1184	1469	2987	1034	703	57	107	1637	162	2191	106	3	226	2773	7666	217	0	432	0	602	2042	1846	1541	1001	7121	1997	1089	5323	14012	1908	85	0	7816	2285	11284	4854
29303	14	20	176	45	198	81	181	12	2	48	84	1	7	9	28	0	23	22	27	102	23	5	4	185	144	0	144	0	36	106	127	54	350	96	17	147	23	86	76	2	120	46	27	10	0	35	18	0	156	24	25	197	1	4	28	36	58	53	17	66	43	150	40	22	8	5	53	4	10	0	0	5	96	226	5	0	7	0	27	83	48	39	26	157	57	32	112	471	93	5	0	602	180	885	356
68203	10	22	159	33	180	66	135	15	0	40	61	0	15	9	54	0	14	7	33	115	11	3	1	150	130	4	101	0	40	120	163	56	405	95	12	222	25	50	82	6	127	17	25	6	1	27	22	6	163	53	28	199	0	1	23	26	50	28	13	41	47	135	26	23	6	5	58	11	450	7	0	24	96	607	27	0	28	0	35	166	129	42	55	373	61	52	267	931	92	35	0	605	173	847	366
1914	10	14	73	0	79	20	52	8	1	18	18	1	1	0	0	1	6	0	16	28	8	0	0	61	54	1	39	0	0	44	50	10	66	20	2	60	9	18	0	1	0	12	9	11	0	17	0	0	30	16	5	51	0	0	6	11	26	13	0	15	8	47	7	0	0	0	21	0	262	1	0	1	27	143	6	0	0	0	4	9	12	14	7	84	9	10	46	191	31	0	0	119	21	217	81
2184053	3	0	25	0	51	36	52	3	0	13	17	0	1	4	0	0	5	14	14	42	8	1	0	23	0	0	49	0	0	37	36	10	124	0	0	0	6	14	0	0	0	8	6	0	0	13	6	0	49	12	0	50	0	0	7	19	13	14	0	7	17	23	12	14	0	2	23	3	5	0	0	0	28	21	1	0	5	0	3	2	10	11	9	38	22	10	29	44	27	0	0	119	27	171	72
1901	3	14	50	14	62	43	66	7	1	27	28	0	1	0	0	1	12	12	20	76	12	0	4	83	59	0	67	0	11	40	56	21	173	61	4	84	9	28	31	3	63	0	16	1	0	14	10	0	89	17	7	91	0	0	13	31	39	14	0	20	22	54	27	24	1	3	41	1	67	0	0	6	51	134	112	0	5	0	6	19	26	27	19	101	33	19	113	175	27	3	0	221	63	387	137
68223	1	0	72	19	64	0	35	5	0	14	11	0	1	0	0	0	4	5	0	32	13	0	0	71	33	1	19	0	18	25	58	12	110	19	1	131	10	11	0	1	64	9	12	1	1	5	15	0	28	4	10	28	1	0	15	0	10	0	8	24	0	45	0	0	0	0	5	1	21	0	0	0	19	119	1	0	0	0	9	36	28	6	19	153	2	20	95	267	29	0	0	158	49	207	84
362257	1	8	0	0	0	17	20	0	1	0	0	0	1	0	0	0	1	0	0	14	0	0	0	25	0	0	26	0	0	30	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	31	6	0	22	0	0	0	0	0	8	0	0	8	0	5	0	0	0	15	1	0	0	0	0	24	3	0	0	0	0	1	1	3	15	0	20	17	0	0	0	7	0	0	15	5	12	7
37921	254	956	3001	932	2235	1695	3519	352	40	1287	1514	3	104	208	818	2	200	508	823	2635	259	98	54	3349	3153	50	3257	0	748	2349	2981	372	1586	2328	186	5313	599	1046	1978	144	2500	400	541	73	8	1027	517	56	3971	858	351	4056	16	11	745	1113	1297	723	370	931	1198	2388	929	330	52	100	1376	181	1522	55	15	169	2339	7510	107	3	973	0	431	1583	1607	1281	1827	7506	1695	1224	6705	12662	1591	116	0	3207	884	4836	2111
1704044	54	121	664	165	399	273	690	60	4	213	248	0	20	33	145	1	27	129	116	483	46	22	8	795	650	10	574	0	176	437	857	52	176	389	39	1145	105	171	348	25	391	108	82	28	3	203	112	12	621	162	73	623	12	2	119	200	259	106	58	223	207	580	140	10	3	20	222	47	630	2	1777	46	408	1904	227	583	307	44	68	325	235	216	258	1468	280	206	1024	2590	291	86	5	395	100	701	274
1849032	3	12	45	22	77	17	55	20	2	25	59	0	1	8	34	2	6	26	25	51	11	4	2	59	54	0	82	0	12	52	66	18	59	66	3	128	17	25	53	1	94	5	12	5	0	26	0	0	120	7	4	67	0	2	14	35	29	9	22	36	19	29	19	0	1	5	24	2	11	6	0	60	68	401	20	0	15	0	15	30	38	37	12	133	47	32	73	515	56	2	0	153	55	241	96
1667	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	30	1	0	0	0	2	9	27	3	17	10	0	5	27	92	2	0	0	12	2	18	10
1118963	1	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	1	0	4	0	0	54	0	0	0	0	0	0	8	0	0	0	0	14	0	0	0	0	0	3	0	0	0	0	0	9	9	0	0	1	0	0	2	4	2	5	63	3	1	10	44	7	1	0	24	5	33	4
1477518	2	20	54	9	41	0	42	0	0	19	61	0	8	0	0	0	0	42	16	63	8	0	0	52	0	3	47	0	14	68	105	0	15	74	9	0	41	11	0	19	0	0	37	0	0	14	18	0	43	12	3	52	0	0	18	19	0	0	0	17	7	39	18	0	0	0	14	0	2	0	0	0	29	59	0	0	4	0	5	0	26	24	20	54	49	0	76	43	24	0	0	36	23	75	44
2774874	4	0	71	9	70	8	45	12	0	13	27	0	18	12	0	0	0	29	15	54	0	5	0	153	106	0	34	0	8	57	180	5	70	38	0	110	16	28	41	0	0	13	26	0	0	0	12	0	40	18	0	38	0	0	14	102	30	11	0	0	9	77	8	0	0	0	31	29	0	0	28	0	42	136	0	43	162	0	28	140	121	25	90	58	64	78	62	255	37	26	0	103	18	147	73
37928	4	66	265	124	306	35	210	24	0	70	50	0	7	0	45	0	6	21	26	160	13	0	6	187	232	1	67	0	58	82	323	23	22	188	4	723	11	62	308	0	309	62	28	27	0	29	62	0	70	14	20	175	0	0	23	24	69	28	27	95	62	339	12	22	6	0	45	8	9	0	67	8	108	1129	10	17	120	0	27	137	230	86	253	2885	62	99	2999	2174	139	30	0	169	25	181	101
2772401	1	0	52	15	37	10	35	3	0	18	14	0	0	3	23	0	1	11	5	21	3	0	3	54	61	1	35	0	18	29	83	0	0	23	2	85	11	14	37	1	0	8	9	2	0	9	7	0	34	7	10	34	0	0	21	10	25	5	6	9	14	45	13	13	1	0	13	4	21	0	0	1	30	134	9	0	22	0	2	14	17	16	19	197	15	26	162	247	33	3	0	59	8	74	22
2590785	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	1	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	8	1	0	0	0	0	0	0	1	4	1	0	1	0	0	0	2	0	0	20	5	25	10
2697569	2	8	0	16	0	24	39	8	0	12	15	0	1	7	0	0	3	0	12	17	0	0	0	23	30	0	29	0	0	18	0	8	0	34	2	56	0	20	22	0	0	0	5	0	0	4	0	0	35	4	6	19	2	0	0	23	14	0	0	15	8	0	8	0	2	4	11	0	4	0	0	0	21	7	2	0	0	0	2	20	16	9	5	9	9	1	46	32	8	0	0	23	4	43	26
85085	2	22	66	31	63	18	52	6	2	25	34	0	1	7	0	0	2	20	23	50	5	1	0	47	47	0	37	0	23	33	91	6	0	65	4	93	11	30	53	1	68	6	26	4	0	14	13	0	82	14	4	64	0	1	17	32	25	14	8	0	20	50	14	6	0	0	19	0	9	0	0	24	39	118	33	0	17	0	5	32	16	39	21	295	50	18	211	131	48	0	0	43	11	75	14
121292	34	445	1609	96	832	343	1508	139	0	480	228	0	0	25	223	0	0	191	444	1176	99	0	0	1542	1839	36	1187	0	236	434	1078	78	186	529	26	1775	186	321	326	56	446	152	237	0	0	186	164	0	1998	165	102	1665	0	0	353	141	730	93	102	340	435	944	439	112	27	31	682	84	0	110	0	39	1054	3048	46	0	660	0	62	363	467	673	467	8378	833	252	5194	3236	613	117	0	1729	245	2582	993
