RDC_4_H31	RDC_2_H8	RDC_6_H68	RDC_2_H6	RDC_2_H11	RDC_5_H57	RDC_2_H3	RDC_5_H48	RDC_6_H71	RDC_5_H43	RDC_3_H15	RDC_5_H46	RDC_4_H30	RDC_4_H40	RDC_3_H23	RDC_3_H22	RDC_3_H14	RDC_5_H55	RDC_6_H62	RDC_5_H52	RDC_4_H29	RDC_4_H33	RDC_4_H32	RDC_6_H65	RDC_2_H5	RDC_4_H41	RDC_5_H58	RDC_4_H38	RDC_4_H28	RDC_5_H44	RDC_4_H26	RDC_5_H54	RDC_6_H66	RDC_3_H13	RDC_4_H37	RDC_1_H1	RDC_2_H4	RDC_5_H49	RDC_2_H7	RDC_3_H16	RDC_6_H69	RDC_6_H63	RDC_5_H56	RDC_6_H64	RDC_1_H2	RDC_5_H53	RDC_5_H50	RDC_3_H18	RDC_6_H70	RDC_5_H61	RDC_3_H12	RDC_5_H51	RDC_4_H35	RDC_6_H72	RDC_4_H25	RDC_3_H17	RDC_5_H59	RDC_3_H20	RDC_5_H47	RDC_5_H45	RDC_4_H27	RDC_2_H9	RDC_3_H19	RDC_5_H60	RDC_4_H34	RDC_4_H36	SRX3830154	SRX4318863	SRX024173	SRX024148	ERR584333	SRX024023	SRX3830174	SRX024200	SRX023994	ERR584348	SRX4318860	ERR584320	SRS727524	SRS728264	SRX740589	SRX3830184	SRX740562	SRX025192	SRX3830126	SRX740632	SRX025193	SRX101411	SRX3830225	SRX4318858	ERR584341	SRR5823608	SRR5823606	SRR5823609	SRR5823611
2579971	17	22	136	75	159	52	133	24	5	77	74	2	3	5	40	0	11	25	29	115	15	8	5	160	107	1	99	0	55	140	163	48	215	124	2	113	33	71	54	5	206	31	44	3	1	45	56	23	163	9	33	138	0	1	36	35	53	23	35	45	34	128	37	14	1	6	82	202	99	60	0	75	70	218	86	0	177	0	29	187	72	62	67	97	52	69	55	262	79	83	0	614	121	1073	375
195105	9	39	264	154	174	59	97	25	7	79	80	4	12	19	76	0	7	38	38	122	8	6	9	280	233	5	131	0	70	144	278	45	158	178	15	191	53	51	107	7	267	53	52	9	1	26	89	14	139	29	44	151	2	2	45	43	59	25	30	55	77	226	34	28	0	24	120	40	661	15	0	7	72	191	31	1	40	2	16	967	34	131	553	48	78	70	109	186	99	11	0	531	94	727	271
2033869	5	19	70	26	63	15	63	9	1	55	23	0	0	0	20	0	8	18	11	39	7	2	1	88	51	1	62	0	0	44	46	18	120	42	4	0	15	31	0	7	119	12	27	3	0	25	16	5	85	17	12	46	2	0	13	31	29	10	13	30	11	59	14	13	1	8	32	3	104	1	0	11	47	90	14	0	13	0	22	95	11	31	66	77	30	36	46	173	41	0	0	383	114	593	230
1075	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	1	8	1	3	8	0	0	2	0	12	3	0	0	22	4	17	4
1061	1	0	0	12	0	8	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	14	0	0	0	0	0	4	5	0	0	1	0	1	5	0	9	5	3	9	0	9	5	8	0	0	16	9	31	5
2599296	5	12	145	38	83	11	32	17	0	15	31	0	2	6	26	0	7	9	9	21	5	3	1	107	70	0	54	0	42	38	73	11	77	56	2	46	13	21	36	0	67	17	20	0	0	13	41	5	74	8	15	68	1	0	14	14	18	8	16	21	21	91	18	0	2	5	14	3	42	14	0	8	36	107	43	0	20	0	8	50	9	25	41	33	25	24	34	117	42	2	0	169	51	282	91
2820523	5	0	32	12	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	29	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	16	0	0	0	9	18	0	1	0	0	0	0	7	7	7	0	0	0	0	0	2	0	35	0	0	56	0	84	0	0	0	0	4	22	1	17	11	37	0	5	19	58	12	4	0	52	9	77	30
1564506	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	21	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	4	0	275	0	0	0	9	13	6	0	3	0	1	32	0	2	6	4	2	3	1	13	4	0	0	33	12	75	29
308754	2	0	68	24	45	7	45	3	1	12	9	0	0	0	0	1	7	12	12	22	0	7	1	43	71	0	24	0	12	43	0	4	0	32	6	106	12	20	35	1	0	5	6	1	0	11	12	0	0	7	5	26	1	0	13	0	9	6	0	10	18	33	7	0	0	7	18	5	8	0	0	0	14	28	2	0	2	0	1	4	6	21	15	1	12	7	0	31	26	7	0	44	7	66	21
2500533	3	18	89	48	57	12	88	13	2	31	23	0	2	4	26	0	1	15	23	31	3	3	1	158	75	0	21	0	42	51	71	16	65	63	2	57	27	18	53	1	130	31	17	7	0	12	34	12	119	8	24	78	1	0	11	20	31	5	14	27	18	130	5	88	0	9	23	5	754	49	0	92	37	79	115	0	10	0	15	113	10	37	65	17	15	29	50	92	39	7	0	252	43	359	124
1591409	2	0	0	0	0	25	15	0	4	0	37	2	0	2	0	0	0	42	9	30	0	0	0	27	0	0	54	0	9	29	0	3	32	40	1	0	9	11	0	0	0	0	19	0	0	11	0	0	39	0	0	27	0	1	18	20	0	0	0	0	17	0	16	46	0	0	13	0	1	0	0	2	9	11	0	0	2	0	2	14	2	9	16	28	24	5	18	5	2	0	0	55	8	97	31
2169400	1	0	73	20	33	12	59	0	0	31	0	0	1	0	0	0	0	0	0	0	2	2	4	80	30	0	13	0	22	38	39	3	16	17	4	46	7	16	0	0	0	6	0	6	0	15	31	0	0	0	10	32	0	3	8	5	14	0	0	0	8	61	0	10	2	2	9	1	1	1	0	2	19	13	5	0	0	0	2	47	3	12	16	1	1	2	2	46	12	0	0	77	17	86	30
564137	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	17	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	1	1	0	1	0	3	6	0	12	0	2	44	3	4	22	4	2	8	6	22	4	1	0	46	6	76	35
1229727	8	20	57	23	34	25	65	7	0	51	34	0	1	4	0	0	4	23	9	49	5	10	3	87	55	1	65	0	12	61	88	11	73	47	0	69	31	23	30	1	0	9	32	0	0	14	16	4	48	9	4	68	1	0	12	15	19	0	6	18	20	28	10	37	0	0	7	7	7	0	0	2	23	36	15	0	0	0	5	56	8	17	27	37	15	12	42	106	11	2	0	137	41	219	81
1792508	1	0	30	21	45	16	31	3	0	17	7	0	0	3	0	1	2	8	14	26	4	0	2	49	31	0	34	0	0	20	0	13	71	20	1	0	4	8	0	0	70	0	0	2	0	6	7	5	64	11	3	44	0	0	0	12	11	7	0	7	0	29	7	23	0	3	22	0	6	18	0	4	33	123	16	0	3	0	5	27	10	18	25	72	16	5	28	153	23	0	0	153	49	291	101
1208324	3	0	26	0	36	0	100	3	0	20	13	0	0	0	0	0	5	9	12	36	0	0	0	42	39	0	100	0	16	78	62	0	74	33	0	86	22	20	33	6	0	6	15	0	0	12	0	0	125	22	0	64	0	0	13	25	11	8	0	17	37	39	0	13	0	0	19	0	668	37	0	103	44	79	29	0	4	0	6	36	10	21	16	118	12	2	31	67	22	0	0	202	43	332	146
1396826	1	0	55	29	29	0	0	8	0	0	0	0	1	0	0	0	0	0	0	9	0	0	1	63	31	0	0	0	15	0	0	12	26	16	3	0	5	0	0	0	72	13	0	3	0	0	17	0	0	0	8	19	0	1	8	0	8	3	8	0	0	52	0	0	0	4	10	0	54	2	0	19	4	21	8	0	0	0	5	33	4	4	9	1	0	3	49	62	7	0	0	115	13	144	50
133924	1	0	23	12	37	5	0	0	0	9	0	0	0	0	0	0	0	0	0	17	0	0	1	50	0	0	0	0	12	0	0	12	14	18	3	0	0	8	0	0	0	0	0	2	1	3	12	0	0	0	6	18	0	1	0	0	14	0	6	8	0	54	0	0	1	0	5	0	30	1	0	9	6	25	4	0	2	0	1	15	1	10	6	18	3	9	15	20	1	0	0	40	13	73	25
2009329	2	0	64	41	60	11	51	9	3	53	27	1	0	4	0	1	6	29	7	45	3	2	1	99	70	2	49	0	31	40	64	7	61	58	1	45	7	31	29	3	77	13	28	1	0	19	40	5	61	12	8	45	0	0	14	72	22	9	0	19	31	63	19	35	0	6	20	2	42	0	0	5	39	61	11	0	4	0	5	41	8	36	38	48	37	14	53	200	49	0	0	132	28	229	66
2588299	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	30	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	14	7	2	0	0	0	1	3	1	5	6	0	17	1	4	0	6	0	0	21	8	19	0
292414	1	0	40	12	0	10	19	0	0	15	11	0	1	3	0	0	3	0	10	16	0	0	0	30	0	0	25	0	15	0	0	11	33	20	2	0	0	13	0	3	61	0	0	5	0	6	9	7	34	5	0	27	0	0	0	0	11	5	0	15	10	29	0	0	0	2	17	1	35	13	0	3	20	52	4	0	2	0	3	53	9	26	15	33	6	10	31	98	21	1	0	94	20	153	65
540747	1	7	0	9	0	12	22	0	0	0	19	0	0	0	0	0	1	13	8	0	4	4	0	33	31	0	23	0	9	23	0	6	24	0	0	0	4	0	0	0	0	8	18	0	2	6	0	0	0	0	0	0	0	0	5	0	9	0	0	0	0	19	15	0	0	0	3	0	2	0	0	4	12	18	143	0	0	0	0	7	1	5	6	0	5	1	0	10	9	0	0	59	10	113	41
92947	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	9	0	0	1	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	3	0	6	1	35	3	0	0	0	5	5	1	3	10	0	0	6	4	6	4	0	0	26	4	37	17
290400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
88688	68	231	831	384	1133	368	832	126	13	411	377	5	18	30	279	3	110	347	201	574	86	33	22	1056	725	12	794	0	291	556	827	275	1806	685	40	879	175	327	468	44	3849	162	334	31	4	244	260	1164	1116	176	135	829	7	8	161	329	351	181	131	237	301	826	226	398	20	56	547	65	3158	146	17	285	549	916	301	25	48	6	382	2948	337	463	1718	712	431	414	826	1639	552	29	0	5939	1490	9913	3672
1609758	1	0	21	0	0	24	22	0	0	10	9	2	1	0	0	0	2	0	0	0	5	0	0	0	0	2	46	0	0	0	0	7	38	0	2	0	0	0	0	0	0	0	5	0	0	6	8	4	27	7	0	29	0	0	0	0	9	3	0	8	0	0	11	6	2	0	10	0	14	17	0	1	18	9	12	0	0	0	9	566	6	9	22	18	13	8	4	52	8	0	0	82	19	128	59
336203	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	4	1	5	0	0	0	0	3	1706	2	1	26	0	4	20	0	0	0	0	0	47	5	73	34
2319844	2	12	46	24	31	0	37	7	1	18	0	0	0	2	0	0	6	9	28	21	2	0	1	43	29	1	16	0	13	19	56	8	45	15	0	0	6	13	0	0	0	10	26	3	0	7	12	9	24	8	8	23	0	0	0	24	15	11	0	0	17	40	0	37	0	0	25	0	136	18	0	27	13	37	15	13	4	0	13	164	12	21	33	4	20	10	1	38	35	0	0	222	24	401	146
2759526	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	2	0	0	0	0	0	0	0	0	0	0	0	50	546	43	0	140	0	1	49	0	0	2	0	0	40	14	52	24
13689	4	19	45	10	0	33	36	4	6	12	34	0	4	6	0	0	4	33	24	30	5	9	0	39	37	4	53	0	17	20	82	4	32	77	0	66	22	10	0	6	0	0	28	3	1	9	6	7	36	0	4	51	0	0	23	23	13	7	0	11	13	30	6	7	0	6	10	0	14	3	0	0	16	6	4	0	5	0	104	2665	52	18	273	0	32	142	0	0	9	0	0	70	21	112	54
33050	1	0	0	0	0	0	0	0	1	22	0	0	0	0	0	0	3	0	0	0	2	2	1	0	0	1	0	0	0	0	0	3	39	0	0	0	0	0	0	4	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	7	1	4	0	0	2	5	7	0	0	0	0	6	129	11	5	33	2	0	32	18	18	7	0	0	86	12	102	61
450378	1	0	0	0	31	0	21	3	0	26	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	59	0	0	0	0	0	0	4	0	0	11	0	0	7	0	12	28	6	0	14	0	0	0	11	9	0	0	0	0	0	0	6	0	0	17	1	26	1	0	6	14	18	1	0	0	0	20	468	16	8	56	0	12	23	10	35	12	0	0	150	32	254	87
785	9	31	134	60	81	33	108	19	7	63	52	0	3	4	35	0	3	34	24	86	6	2	2	179	114	1	51	0	40	54	154	14	44	100	5	125	31	41	65	1	79	43	27	4	0	15	72	0	157	21	21	92	0	3	24	39	40	16	22	38	29	144	30	36	5	5	20	61	392	34	0	113	60	295	208	2	42	0	0	19	5	81	8	21	54	15	83	125	69	27	0	279	37	425	183
152480	5	19	32	24	85	46	89	0	6	7	17	0	0	0	28	0	7	12	7	59	9	0	0	0	0	0	45	0	9	17	59	25	54	17	5	0	25	0	53	0	138	15	35	0	0	10	0	8	171	40	0	19	0	0	23	0	17	7	13	0	18	71	19	0	0	2	20	6	1	0	0	4	33	76	0	0	2	0	1	16	5	25	6	8	8	4	21	160	62	0	0	285	89	466	194
28450	40	137	1376	959	1677	136	633	240	4	636	212	2	42	27	693	7	121	181	108	565	143	42	35	1561	1049	22	408	1	505	537	1281	350	1884	1241	87	635	204	478	1135	44	3926	444	235	122	16	163	612	420	470	180	292	776	1	24	150	190	292	152	297	517	267	1747	43	508	30	155	497	46	1811	424	0	676	270	1750	333	0	105	4	101	655	170	863	208	363	210	237	1292	2803	878	27	0	6982	1723	10872	4135
57975	1	0	19	0	36	0	0	0	0	11	0	0	1	0	0	0	10	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	22	0	0	0	18	0	0	3	0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	52	8	0	46	2	10	0	0	2	0	0	10	0	6	3	1	6	2	0	6	9	3	0	191	38	339	129
1795874	29	71	940	624	742	46	366	129	6	362	100	1	23	17	354	1	42	112	80	309	49	22	24	1127	609	8	195	0	321	339	747	151	578	588	52	366	89	260	639	6	1887	303	74	74	9	107	451	248	285	79	198	538	1	16	76	81	214	54	168	244	123	1098	21	82	17	73	228	19	1453	175	0	312	176	967	272	0	58	0	50	298	104	488	77	213	108	142	717	1319	476	13	0	2172	467	3345	1236
1097668	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	3	2	0	0	0	0	0	0	0	0	0	9	42	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	2	4	0	0	0	1	13	1	0	3	0	6	29	1	7	3	13	0	9	7	11	7	0	0	157	42	302	86
2813843	1	0	81	33	30	9	39	20	0	33	21	0	0	0	0	0	0	13	0	33	0	0	0	117	27	0	46	0	28	39	54	14	41	19	4	0	5	21	0	0	0	27	5	2	0	11	20	6	69	10	14	39	0	1	6	28	24	0	6	23	11	61	5	0	1	4	11	0	0	0	0	0	48	3	2	0	2	0	3	12	4	16	4	2	28	3	2	6	43	0	0	117	10	143	44
164546	22	56	548	294	658	89	215	87	4	202	126	4	18	16	207	3	42	99	72	204	43	23	12	614	361	7	216	0	208	242	482	136	761	408	38	357	98	187	359	17	1345	161	107	33	4	41	210	201	237	72	80	345	0	9	83	95	131	94	93	141	137	642	32	141	13	44	238	16	1213	63	0	113	151	626	111	4	44	0	97	676	104	290	132	209	117	270	423	980	308	9	0	2357	510	3803	1349
1478019	4	0	166	84	83	0	42	6	0	31	7	0	0	4	0	0	11	0	0	26	2	2	4	182	57	2	27	0	39	31	68	26	88	49	1	0	12	30	69	0	144	47	0	0	2	8	173	16	0	12	32	78	0	2	0	5	19	0	18	41	10	198	0	11	1	8	27	6	91	66	0	20	14	33	21	0	6	0	4	39	6	19	8	24	15	4	68	125	39	1	0	314	58	469	203
151783	13	35	253	152	311	40	146	27	0	84	37	1	2	6	87	1	30	35	36	90	18	2	4	313	186	2	77	0	106	78	224	34	368	215	24	106	29	59	172	1	621	65	37	11	1	23	140	110	127	40	57	149	0	10	32	27	82	21	54	87	46	322	25	38	5	32	93	4	732	88	1	146	69	145	24	261	14	0	46	236	45	126	75	43	47	101	160	411	142	2	1	1087	258	1853	665
106590	12	30	212	151	260	25	101	23	1	89	19	0	1	0	83	0	8	20	13	92	15	5	2	427	163	3	51	0	67	69	193	74	266	147	23	107	19	76	159	1	512	93	9	9	2	23	176	56	103	35	40	166	4	2	13	42	48	42	43	101	49	284	13	22	8	24	37	13	404	11	0	26	37	470	1	0	34	0	18	107	22	87	22	111	43	62	150	659	129	3	0	785	182	1309	463
119219	7	29	259	186	318	11	118	35	2	68	26	0	16	0	138	0	39	31	33	101	21	3	7	335	165	2	62	0	80	116	289	80	340	221	18	132	39	92	218	7	787	94	47	15	6	16	113	108	46	36	69	156	3	5	21	25	40	26	25	74	30	323	14	31	5	21	74	6	697	135	1	131	54	547	25	0	34	0	29	302	46	133	72	139	25	115	263	581	174	5	0	1113	190	1651	582
1040979	4	16	76	95	188	7	49	17	0	28	21	0	0	0	38	3	23	23	18	33	14	0	2	54	46	3	65	0	31	33	103	28	179	87	3	83	8	32	52	0	352	47	29	1	0	20	13	61	91	13	8	42	0	1	10	9	29	36	14	25	35	113	8	24	1	16	69	16	40	18	0	10	31	105	12	0	7	0	46	230	51	63	26	9	32	59	85	207	43	1	0	613	162	1017	372
68895	5	0	290	99	148	7	145	43	0	118	40	0	3	3	49	0	2	20	15	63	16	0	0	516	111	0	51	0	70	88	149	33	152	173	8	88	27	110	128	4	239	77	35	23	0	47	201	57	49	18	53	185	0	0	38	28	65	21	24	93	37	373	8	30	6	8	17	1	2	35	0	33	29	120	32	0	10	0	11	71	31	61	23	13	13	11	64	342	54	0	0	307	95	556	187
82541	1	0	28	14	0	0	0	0	0	10	0	1	1	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	29	0	0	5	0	0	0	83	5	4	0	0	0	9	8	0	0	10	0	0	1	0	0	0	0	0	0	0	41	0	0	0	0	5	0	5	1	0	2	0	5	1	0	0	0	0	3	1	26	1	1	1	2	11	47	17	0	0	38	8	65	17
305	77	203	2382	1472	1710	182	814	331	17	652	234	6	46	52	876	3	91	227	209	699	84	56	58	3190	1491	24	388	4	711	681	1512	375	1297	1775	132	917	262	526	1606	51	4463	854	222	184	26	183	1406	497	427	310	447	1287	8	49	209	191	499	175	399	752	353	2762	128	244	42	208	469	69	2864	134	460	341	314	2115	433	299	144	0	152	959	189	894	179	761	200	404	1859	4287	1140	35	0	4497	985	6731	2667
329	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	37	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	16	0	0	4	0	8	8	0	1	0	0	2	1	0	2	0	1	1	0	0	2	12	0	30	5	73	10
948107	1	8	34	16	41	0	13	4	0	0	0	0	0	2	0	0	1	0	0	0	7	1	0	38	0	2	11	0	12	12	34	9	56	0	2	0	8	11	0	2	93	10	0	4	0	3	5	7	0	6	5	0	0	0	0	0	0	0	0	0	12	45	0	0	0	0	8	1	7	0	0	1	12	18	0	0	14	0	7	28	5	30	7	7	6	19	19	12	12	2	0	197	48	319	103
2026199	1	7	90	53	85	0	37	19	0	34	7	0	0	0	33	0	5	11	9	16	6	5	2	92	70	0	13	0	24	26	66	21	79	66	1	0	0	0	60	2	156	27	4	1	0	3	32	18	0	9	11	23	0	0	0	0	24	3	15	26	8	139	0	0	1	0	29	0	42	33	0	58	30	48	12	0	3	0	3	29	10	43	8	13	9	11	51	130	52	0	0	370	88	536	239
2814653	8	15	256	123	233	35	121	47	5	124	47	1	10	3	85	0	10	39	39	74	13	6	6	362	230	2	131	3	134	94	185	62	268	178	16	143	33	94	183	16	395	83	33	26	6	40	210	75	61	17	69	187	0	4	31	32	91	13	35	99	36	276	14	43	8	12	88	5	123	34	0	107	72	238	34	0	14	0	56	306	135	106	51	38	42	76	238	342	104	9	0	843	189	1298	472
758793	4	7	0	0	58	5	12	0	2	15	0	2	0	4	0	0	2	9	6	0	0	2	0	0	0	0	0	0	10	0	0	16	72	0	0	0	7	0	22	0	100	0	7	1	0	0	0	14	0	0	3	0	0	0	0	5	0	11	0	0	0	19	8	0	0	0	26	2	8	4	0	7	5	37	0	0	2	0	7	40	2	8	13	2	4	21	22	29	21	0	0	238	50	423	189
412963	3	0	39	26	28	0	0	0	0	12	0	0	4	0	0	0	6	0	0	14	2	0	0	63	0	0	0	0	14	0	0	9	37	0	2	0	6	8	0	1	0	14	0	3	1	0	19	5	0	0	11	0	0	0	6	0	0	3	10	0	0	50	0	0	0	4	9	1	295	3	0	6	3	43	1	0	4	0	1	10	1	13	8	2	3	5	15	60	19	0	0	140	28	214	80
573737	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	1	4	0	1	2	1	1	2	1	8	2	0	0	25	2	41	6
232721	62	199	689	654	30	171	947	132	42	132	261	0	55	0	526	0	0	91	47	851	68	58	45	587	1674	0	681	0	327	594	1244	41	0	873	0	844	121	313	853	0	320	618	85	119	0	0	51	0	789	149	87	466	0	0	42	0	695	0	60	546	45	500	230	122	24	0	513	10	0	0	0	0	292	778	0	0	0	0	0	23	17	805	18	137	823	49	4533	303	410	0	0	261	0	138	34
1858609	7	9	166	145	105	0	45	27	0	159	27	0	6	0	60	0	0	59	0	80	23	6	0	257	172	0	65	0	29	90	286	35	104	263	120	0	31	76	541	0	377	94	33	8	0	0	148	76	0	16	63	105	0	0	57	0	77	12	0	87	98	236	0	11	4	14	18	8	5	0	0	0	0	27	15	0	7	0	1	248	5	208	15	0	0	24	50	180	154	0	0	475	116	819	394
553814	4	10	700	315	186	0	123	66	0	130	0	0	12	0	242	0	3	7	17	90	5	2	0	745	161	0	12	0	195	97	175	43	40	176	12	156	35	89	178	0	286	39	5	19	3	39	374	59	0	144	112	196	0	5	34	0	44	17	169	96	48	846	0	0	6	57	4	7	745	0	0	23	8	54	4	0	6	0	11	16	9	38	9	11	0	22	57	379	124	4	0	156	13	247	103
2811425	11	32	614	258	226	13	106	71	2	131	15	0	10	4	244	2	10	15	34	98	19	9	6	583	223	3	52	1	205	176	161	88	202	207	6	222	52	115	153	1	393	59	22	10	2	19	292	87	77	113	99	207	0	10	30	11	69	31	112	81	48	604	6	24	3	22	70	9	3	2	0	8	31	47	16	0	7	0	26	103	16	101	27	18	14	40	82	221	83	6	0	684	169	1079	420
662548	10	13	37	16	70	14	52	6	2	29	31	0	0	2	0	0	11	5	10	49	10	10	0	52	45	0	57	0	11	34	50	13	105	34	2	47	23	17	0	5	103	6	14	6	0	44	11	4	59	6	4	45	0	0	34	0	21	10	10	0	10	35	15	9	0	0	27	2	4	0	0	0	19	12	2	0	0	0	2	11	3	14	3	3	18	4	12	6	29	1	0	283	70	485	177
282217	4	25	128	37	146	33	87	10	0	38	36	0	0	14	24	0	5	7	22	98	13	0	0	117	86	5	64	0	19	107	120	28	228	93	0	92	40	30	71	0	264	8	25	0	0	41	19	27	66	13	15	128	0	0	16	18	15	29	13	32	40	138	17	18	0	0	51	0	4	31	0	40	44	172	4	0	11	0	4	22	7	30	12	124	15	14	18	65	30	0	0	464	94	787	277
34073	35	100	2786	1640	1121	89	685	270	20	683	119	0	30	22	637	2	62	178	201	628	52	40	56	3550	1686	10	232	1	743	685	1490	211	769	1300	150	931	187	487	1246	17	1767	970	161	112	29	118	1669	238	187	178	367	1355	3	43	182	57	430	124	342	630	344	3654	35	45	35	109	348	20	816	136	9	306	142	492	89	93	35	0	58	173	54	976	81	126	100	91	908	1610	869	8	0	1994	482	3174	1276
2714924	11	26	184	229	163	0	230	26	0	398	0	0	4	0	55	0	0	39	39	76	0	0	0	1622	112	0	56	0	86	45	141	173	0	482	34	0	34	318	202	10	285	87	0	40	34	9	1837	26	0	32	92	569	0	0	13	10	114	0	34	209	53	404	0	0	13	18	202	23	0	0	0	0	7	65	0	0	7	0	2	2	1	125	2	2	0	4	66	190	144	0	0	110	15	97	59
2714925	1	0	32	41	37	0	0	4	3	0	0	0	0	0	34	0	4	0	0	10	0	1	0	58	26	0	0	0	16	12	0	11	36	16	0	0	6	10	22	0	79	13	0	0	1	0	21	13	0	7	13	23	0	3	0	0	0	6	7	11	0	50	0	0	0	3	11	1	1	0	0	6	2	16	2	0	2	0	10	21	2	28	10	14	1	7	23	19	7	0	0	87	12	126	68
434010	8	0	136	140	57	0	88	29	0	72	12	0	2	0	25	0	3	0	9	40	4	0	2	899	83	10	16	0	36	44	180	95	32	116	8	48	24	149	59	0	84	97	6	11	10	19	485	4	36	9	52	259	3	0	16	0	21	17	39	109	37	174	0	57	1	6	9	2	317	0	0	4	12	25	4	0	9	0	8	105	12	27	8	0	12	9	26	107	23	3	0	45	12	51	26
216465	2	11	51	34	0	27	49	3	0	14	22	0	0	0	0	0	2	14	10	37	0	2	4	113	45	1	43	0	9	39	0	19	23	35	1	45	8	12	0	1	0	14	14	1	2	19	32	10	68	5	5	78	0	0	8	16	16	18	7	16	18	50	11	15	4	0	7	3	40	0	0	0	21	44	30	0	5	0	2	24	1	14	3	4	6	9	56	30	18	1	0	106	28	150	81
520	77	290	3433	2325	2707	225	1185	579	20	1154	293	3	86	83	1265	1	83	347	230	1001	94	67	93	3803	2259	21	608	4	1404	1074	2804	376	1375	2818	237	1266	358	940	2914	71	7575	1358	256	286	36	243	1537	543	700	470	707	1881	7	64	283	268	622	238	704	1202	503	4457	126	271	60	326	649	81	2068	359	0	551	512	2943	341	0	280	0	293	1972	375	1786	239	732	357	1243	3063	6800	1883	33	0	4883	1017	7406	2771
