Taxon	Isolation_Source
320	28133	TRUE
321	76856	TRUE
322	1018	TRUE
323	1660	TRUE
324	132132	TRUE
325	2121	TRUE
326	28134	TRUE
327	505	TRUE
328	1303	TRUE
329	60133	TRUE
330	1597	TRUE
331	729	TRUE
332	502311	TRUE
333	1382	TRUE
334	138851	TRUE
335	164	TRUE
336	82203	TRUE
337	68891	TRUE
338	39950	TRUE
339	1750	TRUE
340	221027	TRUE
341	1314	TRUE
342	203	TRUE
343	47715	TRUE
344	1383	TRUE
345	2124	TRUE
346	1304	TRUE
347	1624	TRUE
348	84135	TRUE
349	1305	TRUE
350	739	TRUE
351	204	TRUE
352	490	TRUE
353	176090	TRUE
354	1310	TRUE
355	53419	TRUE
356	1019	TRUE
357	428712	TRUE
358	671229	TRUE
359	633701	TRUE
360	589436	TRUE
361	228603	TRUE
362	1358	TRUE
363	138595	TRUE
364	712411	TRUE
365	712711	TRUE
366	66851	TRUE
367	47770	TRUE
368	838	TRUE
369	57171	TRUE
370	33031	TRUE
371	40543	TRUE
372	309120	TRUE
373	187101	TRUE
374	157692	TRUE
375	1823756	TRUE
376	544581	TRUE
377	181487	TRUE
378	726	TRUE
379	461393	TRUE
380	285	TRUE
381	1227265	TRUE
382	1316593	TRUE
383	55565	TRUE
384	1540868	TRUE
385	1540867	TRUE
386	1226338	TRUE
387	1226339	TRUE
388	1226340	TRUE
389	1227263	TRUE
390	1316596	TRUE
391	1227267	TRUE
392	47493	TRUE
393	589437	TRUE
394	419208	TRUE
395	272548	TRUE
396	1321785	TRUE
397	544580	TRUE
398	1654	TRUE
399	416916	TRUE
400	128827	TRUE
401	32067	TRUE
402	195950	TRUE
403	29465	TRUE
404	970	TRUE
405	1884263	TRUE
406	1785995	TRUE
407	32257	TRUE
408	1501329	TRUE
409	596085	TRUE
410	1078480	TRUE
411	735	TRUE
412	249188	TRUE
413	684066	TRUE
414	1476577	TRUE
415	1583098	TRUE
416	95818	TRUE
417	483	TRUE
