"GO Term ID","Function","RDC_1_H1","RDC_2_H11","RDC_2_H3","RDC_2_H4","RDC_2_H5","RDC_2_H6","RDC_2_H7","RDC_2_H8","RDC_2_H9","RDC_3_H12","RDC_3_H13","RDC_3_H14","RDC_3_H15","RDC_3_H16","RDC_3_H17","RDC_3_H18","RDC_3_H19","RDC_3_H20","RDC_3_H23","RDC_4_H25","RDC_4_H26","RDC_4_H27","RDC_4_H28","RDC_4_H29","RDC_4_H31","RDC_4_H33","RDC_4_H36","RDC_4_H37","RDC_4_H40","RDC_5_H43","RDC_5_H44","RDC_5_H45","RDC_5_H47","RDC_5_H48","RDC_5_H49","RDC_5_H50","RDC_5_H51","RDC_5_H52","RDC_5_H53","RDC_5_H54","RDC_5_H55","RDC_5_H56","RDC_5_H57","RDC_5_H58","RDC_5_H59","RDC_5_H60","RDC_5_H61","RDC_6_H62","RDC_6_H63","RDC_6_H64","RDC_6_H65","RDC_6_H66","RDC_6_H68","RDC_6_H69","RDC_6_H70","RDC_6_H71"
"GO:0006464","cellular protein modification process",100.446,78.9769,95.9475,49.4102,63.8251,69.7616,70.1405,28.043,82.4199,60.8696,48.2422,1.4217,48.0849,1.0046,23.8968,5.6774,53.5819,14.3204,69.8576,51.9331,53.7732,57.0814,75.7641,1.80152,7.61636,1.3496,11.7448,5.14977,16.0095,48.871,70.2791,31.1607,32.0734,24.0809,47.076,65.2666,71.8051,53.5159,26.4206,16.4481,16.7959,32.2882,41.3531,59.0463,32.7345,37.3785,44.622,38.1233,46.0544,34.3045,107.125,19.9636,106.712,123.742,108.506,1.4298
"GO:0006465","signal peptide processing",3.89071,4.98993,12.54,4.93064,5.5904,3.17405,3.39967,8.72079,6.38671,8.46189,2.95982,0,6.0869,0,1.71805,0,14.5188,0.681791,1.56511,4.71022,5.19801,7.52823,1.80125,0.66572,0,0,0,1.10946,0,7.96709,7.49971,2.81425,1.59395,1.09235,4.2227,1.97887,5.21571,3.7923,2.58296,0.51641,2.64215,4.37128,2.99763,7.61569,3.71807,3.59012,4.28165,5.26185,3.62185,5.59722,8.39429,0.560507,9.49254,3.03486,24.3197,0
"GO:0006468","protein phosphorylation",3.13662,5.74067,4.53546,1.54155,2.50447,2.03983,2.90363,0,3.37573,2.34898,0.981059,0,1.1984,0,0,0,0,0.535655,1.46033,1.30936,1.71916,0,2.69193,0,0.618848,0,0,0,0,0.460852,2.15234,0.997871,0.839061,1.33311,2.51124,2.7382,1.83465,1.22141,0.695152,0.667874,0,0,1.7188,1.9105,0.657338,0,0.877574,0.650083,5.17944,0,4.41597,0.832294,5.37585,0.693256,0,0
"GO:0006470","protein dephosphorylation",21.4167,16.7987,9.65335,1.98856,11.6572,16.0179,14.9817,1.47472,19.6502,14.9347,6.26963,0,2.57307,0,0,1.31692,0.970737,0,15.4302,6.3993,8.14033,5.62341,13.7533,0.542818,0.776412,0,2.12769,0.820505,0,3.44905,7.03754,6.64993,6.79821,4.29405,7.0568,19.2107,7.29236,4.08765,1.04148,1.91988,0,0.848772,2.0099,2.82517,3.20536,0,3.61109,1.46032,19.1518,6.13639,21.2249,0.856893,17.7087,34.0302,3.54973,0
"GO:0006471","protein ADP-ribosylation",3.45045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO:0006474","N-terminal protein amino acid acetylation",27.641,21.0467,33.1143,10.1299,16.5132,18.0552,17.2105,3.73763,19.2422,17.2925,10.4302,0,12.2756,0,8.75199,3.47183,14.0247,2.10571,26.5302,10.5323,12.1194,12.734,22.2757,0.374362,0,0.720366,2.36692,0.520145,0,19.0894,22.9944,7.42222,10.6512,7.75508,18.2822,16.6712,20.5594,18.3956,3.72546,3.2528,3.08891,13.4194,11.9839,20.2926,10.5998,41.5108,8.54463,7.80766,11.6318,7.09521,26.453,11.841,20.7063,47.6855,43.1481,1.5787
"GO:0006478","peptidyl-tyrosine sulfation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO:0006482","protein demethylation",0,0.367327,2.84723,0,1.33023,0.938229,0,0,0.617282,1.32587,0,0,0.71031,0,1.84022,0,0,0,0,0,0.732278,0,0,0,0,0,0,0,0,5.19882,0.821329,0,0,0,1.08919,0,1.87847,0.556396,1.12624,0,0,1.97385,0.803914,5.25027,0,0,0,0.99618,0,0,0.789725,0.700057,1.45725,0,0.833108,0
"GO:0006486","protein glycosylation",0.779721,0.221698,2.62445,0,0.440514,0,0,5.18168,0.32391,0,1.52847,0,1.92946,0,1.12584,0,8.13474,0,0,0,0.711201,4.14839,0,0,0,0,0,0,0,4.34755,0.899865,0,0,0,1.00241,0,1.27696,0.60843,0.69705,0,1.60205,2.10789,0.613239,4.03245,1.4472,0,0,2.77721,0,0,1.39793,0,0.565406,0,12.5446,0
"GO:0006487","protein N-linked glycosylation",1.43043,1.24922,0,0,0.413146,0.887729,0.542765,0,0.335199,0,0.107525,0,0,0,0,0,0,0,3.50285,0,1.94497,0.694299,0.260774,0,0,0,0,0,2.86682,0,0,0,1.58265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419725,0.7953,0,0
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process",0.902226,0.795721,1.01729,0,0.51653,0.540579,0.777594,0,0,0,0,0,0.968262,0.643143,0,0,0,0,0.613892,0,0.245341,0,0,0,0,0,0,0,0,0,1.46169,0,0,0,0.626375,0,0.480974,0.665901,0,0,0.517716,0,0,0.446176,0,0,0,0,0,0,0.39293,0,0.353059,0.203433,0.377056,0
"GO:0006493","protein O-linked glycosylation",14.2111,5.13874,16.5962,4.45475,10.1392,8.64829,3.4648,5.96085,13.89,10.6358,6.23717,0.537999,10.7606,0,5.41616,0,9.27846,5.05239,8.43691,6.98599,3.82957,7.7508,10.338,0.528037,1.24796,0,0,0,1.67688,10.3653,13.469,2.8477,4.11966,2.57635,7.42983,15.225,16.618,11.5421,7.94246,3.70896,2.8325,6.39005,9.64087,13.2442,8.65237,2.39054,6.62948,6.71859,4.84946,0,21.0519,5.87735,17.0699,6.9728,15.2572,0
"GO:0006506","GPI anchor biosynthetic process",12.2955,8.85284,20.9905,5.44663,8.14503,5.49407,6.572,2.53386,12.3148,10.4732,5.89176,0,10.9227,0,4.37997,0,8.85745,4.95219,5.47773,5.60707,6.09711,6.96146,7.31904,0.625657,1.66503,0,0,2.35443,0,9.14576,16.3919,4.40763,2.8447,2.626,8.41019,6.28465,16.3249,11.85,6.61698,2.00424,2.74649,6.01353,11.7139,15.277,6.10861,2.08435,10.0776,6.61378,4.8074,6.04195,19.7329,5.73576,15.1497,6.65351,15.1869,0
"GO:0006508","proteolysis",12.572,7.21594,39.287,22.1938,11.5901,15.1614,6.19667,10.1266,13.2785,3.14044,14.1222,0.665007,18.4472,0.95441,20.6503,1.31532,15.0894,1.67347,5.90429,13.2028,18.0264,13.0998,12.4971,1.08018,1.35795,1.2055,1.34213,0.924744,11.7448,17.2697,19.8009,3.84572,7.69909,4.35005,13.0673,3.05919,20.8936,17.3658,8.11781,1.72114,8.32286,19.1715,17.5523,18.3418,6.14059,98.9179,12.823,8.86656,3.98682,0,16.1439,6.65224,18.4991,16.7421,48.6466,1.33758
"GO:0006511","ubiquitin-dependent protein catabolic process",0,0.78891,0,0,0.873528,0,0,6.11281,0,0,1.07854,0,1.15016,0,0,0,6.40438,0,0,1.18316,1.09269,4.13139,0,0,0,0,0,0,0,0,0.539459,0,0,0,0,0,0,0,0,0,1.38215,0.806099,0,0,1.41522,0,0,2.78415,0,0,0.430009,1.44279,0,0,14.9342,0
"GO:0006515","misfolded or incompletely synthesized protein catabolic process",12.8307,11.2578,33.3357,13.3757,14.2329,23.098,10.5893,2.85265,24.693,13.6682,9.70148,0,11.5331,0,10.4957,0,9.40364,0.454927,16.1748,7.19668,10.74,8.69593,12.4127,0,0,0,3.21796,0.800728,0,25.1054,16.6111,5.61132,9.52652,4.20029,14.7045,21.9323,18.5344,13.7509,6.13933,3.11006,3.98889,20.4525,5.54842,19.1391,9.55624,48.9933,11.9417,7.76193,12.0115,12.6457,26.2315,15.7748,22.1057,38.3986,40.9144,0
"GO:0006518","peptide metabolic process",8.86232,6.12589,7.41753,12.6697,6.78017,3.49981,3.30288,12.4179,3.56194,1.85179,10.1381,0.85814,14.5502,1.09142,10.413,0,15.9179,0.883088,5.89995,11.3466,9.16044,6.90775,7.93871,0.830833,1.62986,1.22089,1.96632,0,15.1706,5.12096,11.1912,2.05513,3.90008,5.08565,4.28743,2.91181,6.68634,10.3114,6.53612,1.50157,5.70147,8.89291,12.5925,5.8249,1.84003,0,8.30765,7.26772,0.81349,0,8.35483,1.62204,7.65265,10.6593,9.00845,1.906
"GO:0006520","cellular amino acid metabolic process",234.514,171.283,275.658,133.434,162.086,207.454,171.414,102.062,240.153,182.96,131.04,3.05139,144.101,5.13331,121.408,25.9094,143.402,22.0746,200.921,113.336,149.138,143.921,175.528,4.47032,11.2001,3.46695,33.7073,9.60208,57.1539,177.777,173.301,75.0893,98.685,61.008,150.055,199.6,203.079,155.902,68.6568,28.8874,57.7529,137.647,108.188,160.201,92.618,384.635,110.535,103.295,133.28,96.2701,277.621,103.355,242.086,391.639,380.215,2.40145
"GO:0006522","alanine metabolic process",0.171579,1.68003,0,0,0.519496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476445,0,0.34284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263613,1.14007,0.489213,0,0
"GO:0006523","alanine biosynthetic process",18.2315,13.6698,27.1369,9.45663,10.8608,11.2306,10.4208,7.92104,14.8605,9.40289,5.23469,0,8.95328,0,11.3224,3.66892,10.1129,7.3481,18.4921,4.56904,7.94472,13.6637,9.73541,0.607089,1.86079,0.797722,0,0.992166,3.83952,12.6773,13.0679,3.94408,5.0304,1.44682,8.41521,5.80846,19.735,13.9344,11.436,1.947,1.61227,7.1325,18.1791,19.8521,6.30832,35.043,14.4717,7.64943,4.4215,0,11.6708,6.86892,18.9072,30.5581,27.8735,0
"GO:0006524","alanine catabolic process",0,0.556525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85893,0,0
"GO:0006525","arginine metabolic process",64.6052,35.2731,62.588,36.3021,37.7895,26.2325,26.099,24.9985,31.2084,24.7167,39.6665,0.923558,47.4982,1.79326,28.8616,0,43.5055,12.6962,20.4778,40.691,32.0819,28.909,32.0315,1.91273,4.48968,2.2462,4.85832,2.12308,20.2767,25.6133,58.8472,17.0831,18.245,16.0839,31.4531,16.4749,44.7763,33.5333,19.6917,10.9552,17.2142,32.2405,40.8171,36.3852,19.9993,34.838,18.5302,28.3363,15.386,5.99746,39.4555,11.0363,53.025,40.2003,46.6045,2.54956
"GO:0006526","arginine biosynthetic process",257.008,191.754,204.266,158.059,166.855,169.567,172.743,127.151,223.226,171.003,140.258,8.7525,168.869,8.58542,96.4798,20.2364,181.252,46.6178,200.547,161.1,149.203,190.13,209.213,11.5846,17.5767,6.35987,29.5769,16.6625,98.0485,118.337,194.555,83.4624,120.417,72.8065,109.88,199.309,198.176,154.434,78.8105,30.2872,67.3009,104.695,148.953,154.226,84.0216,99.9538,147.408,110.603,134.962,75.6674,285.264,51.8175,244.687,358.627,300.477,10.5375
"GO:0006527","arginine catabolic process",10.3191,5.73994,8.14048,4.6337,4.91752,6.77336,3.78687,6.12996,7.44167,7.79318,5.1919,0,5.35808,0.850332,1.45333,0,11.117,0,3.02147,3.82416,4.81119,6.29899,1.82853,0,0,0,0,0,0,7.92552,4.46267,1.50359,3.23169,0,2.84336,4.68169,4.12121,1.20345,1.28425,0,1.98968,5.31578,1.32677,5.26559,2.92112,3.93515,6.12748,5.31159,2.43898,0,6.94146,8.4264,9.3121,8.17578,21.5332,0
"GO:0006528","asparagine metabolic process",0.348674,1.94537,2.15412,1.76977,1.07691,1.83054,0,0,1.71494,0,0,0,0,0,0,0,0,0,0.380373,0,2.7436,0,0,0,0,0,0,0,0,1.34374,0.427387,0,0,0,0.932807,0.918453,0.502875,0,0,0,0,0,0,0,0,0,1.29584,0,3.13302,0,1.87897,0,2.27159,0,0,0
