taxon,lfc_.Intercept.,lfc_Isola.Sacra,lfc_Selvicciola,se_.Intercept.,se_Isola.Sacra,se_Selvicciola,W_.Intercept.,W_Isola.Sacra,W_Selvicciola,p_.Intercept.,p_Isola.Sacra,p_Selvicciola,q_.Intercept.,q_Isola.Sacra,q_Selvicciola,diff_.Intercept.,diff_Isola.Sacra,diff_Selvicciola,passed_ss_.Intercept.,passed_ss_Isola.Sacra,passed_ss_Selvicciola
GO:0000724: [BP] double-strand break repair via homologous recombination,-0.0326786194754109,-0.139058011201803,-0.34919423906461,0.094565771223933,0.192638543270216,0.398719442372428,-0.345564986701452,-0.721859752680671,-0.875789344474557,0.73135458038444,0.474288036149682,0.386010749631526,0.810419940426001,0.780106490954042,0.920850880250643,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GO:0000725: [BP] recombinational repair,0.160847390114761,-0.29859249795391,-0.102058160119159,0.0552569690458932,0.120711522173982,0.237117290353483,2.91089780876636,-2.47360394912051,-0.430412138933504,0.00549406214530279,0.017045299303804,0.668863187710797,0.0220899064679878,0.174714317863991,0.984511911500743,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
GO:0000737: [BP] DNA catabolic process, endonucleolytic,-0.677243924721381,0.985416720214463,-0.330587797365041,0.171884282013504,0.26582030589178,0.487666870768826,-3.94011550554794,3.70707842242739,-0.67789677171192,0.00130962586340332,0.00210830196192235,0.508159885898583,0.00852296196818037,0.0523881093568583,0.96618894552369,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
GO:0000738: [BP] DNA catabolic process, exonucleolytic,-0.922365375859666,1.47061215397442,0,0.164227967766516,0.245451489525015,0.514115311295429,-5.61637209790602,5.99145744366949,0,0.000156446900237288,9.03635557785099e-05,1,0.00237341096194294,0.00617484297819817,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
GO:0000746: [BP] conjugation,-0.107046906744124,-0.304066445400451,-1.18182923503245,0.202477119777353,0.308657023077562,0.410922511609989,-0.528686435592498,-0.98512725344352,-2.87603915979696,0.600912907717506,0.332440503440483,0.00734309690670916,0.700922595061671,0.666506632814659,0.16998025480188,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0000820: [BP] regulation of glutamine family amino acid metabolic process,-0.309477688843709,0.313667313684446,0.332323811382042,0.190021329973823,0.253748996751372,0.382850820331273,-1.62864710444003,1.23613223185187,0.868024289707645,0.113194715552374,0.225406469420413,0.391844380411635,0.199785453255483,0.57325947136556,0.922676458580533,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GO:0000902: [BP] cell morphogenesis,0.0975473364018782,0.0706938375507093,-0.229745177795165,0.0468216838481537,0.0761788465142194,0.21126903153248,2.08337950250212,0.92799826704535,-1.08745316873308,0.0424553552579983,0.357957324374064,0.282156866163934,0.0953791542782427,0.693912543703859,0.892905183751002,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
GO:0000917: [BP] barrier septum assembly,0.155584051550024,-0.0963349821331312,-0.0315886808534489,0.0440904480502167,0.0860355617560033,0.194090490989982,3.5287473462012,-1.1197112004259,-0.162752336254739,0.000918565594785398,0.268295473264257,0.871382791559227,0.00697429433077802,0.616252907777846,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
GO:0000921: [BP] septin ring assembly,-0.414580376302338,-0.181033297459802,0.735772122486314,0.173306508209017,0.245797594539253,0.463723576788138,-2.3921800778672,-0.736513706731545,1.58666101814889,0.0272443532264752,0.47041500478724,0.129092176143862,0.0676678481789185,0.780106490954042,0.722039545486162,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
GO:0000967: [BP] rRNA 5-end processing,0.109828693636109,-0.112277139547417,0.081988696984064,0.0568654586009118,0.105076432007418,0.213343148827126,1.93137796367561,-1.06852828367345,0.384304335221471,0.0593525572326313,0.290626694078098,0.702450221438307,0.121977686543252,0.641597049225597,0.984511911500743,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
